seed,domain,N,c,h,kappa,rho,DeltaV,Omega,kappa_star,kappa_star_error,sep_action,hls_action,sepomega_action,J_SEP,J_HLS,J_SEP_Omega,DeltaJ,Delta_coord,action_match,coord_error
0,photo,25,0.0,1,0.0,-0.05593852916274655,-0.00391413240057914,0.0,-0.00391413240057914,0.0,"D,0","D,0","D,0",1.8061102277912846,1.8061102277912846,1.8061102277912846,0.0,0.0,True,0.0
0,photo,25,0.0,1,1.0,-0.05593852916274655,-0.00391413240057914,0.0,-0.00391413240057914,0.0,"D,0","D,0","D,0",1.8061102277912846,1.8061102277912846,1.8061102277912846,0.0,0.0,True,0.0
0,photo,25,0.0,2,0.0,-0.05593852916274655,-0.00391413240057914,0.0,-0.00782826480115828,0.0,"D,0","D,0","D,0",2.6476429919188194,2.6476429919188194,2.6476429919188194,0.0,0.0,True,0.0
0,photo,25,0.0,2,1.0,-0.05593852916274655,-0.00391413240057914,0.0,-0.00782826480115828,0.0,"D,0","D,0","D,0",2.6476429919188194,2.6476429919188194,2.6476429919188194,0.0,0.0,True,0.0
0,photo,25,0.0,5,0.0,-0.05593852916274655,-0.00391413240057914,0.0,-0.0195706620028957,0.0,"D,0","D,0","D,0",5.172241284301423,5.172241284301423,5.172241284301423,0.0,0.0,True,0.0
0,photo,25,0.0,5,1.0,-0.05593852916274655,-0.00391413240057914,0.0,-0.0195706620028957,0.0,"D,0","D,0","D,0",5.172241284301423,5.172241284301423,5.172241284301423,0.0,0.0,True,0.0
0,photo,25,0.0,10,0.0,-0.05593852916274655,-0.00391413240057914,0.0,-0.0391413240057914,0.0,"D,0","D,0","D,0",9.379905104939095,9.379905104939095,9.379905104939095,0.0,0.0,True,0.0
0,photo,25,0.0,10,1.0,-0.05593852916274655,-0.00391413240057914,0.0,-0.0391413240057914,0.0,"D,0","D,0","D,0",9.379905104939095,9.379905104939095,9.379905104939095,0.0,0.0,True,0.0
0,photo,25,0.02,1,0.0,-0.035938529162746535,-0.008914132400579144,0.0,-0.008914132400579144,0.0,"D,0","D,0","D,0",1.7761102277912846,1.7761102277912846,1.7761102277912846,0.0,0.0,True,0.0
0,photo,25,0.02,1,1.0,-0.035938529162746535,-0.008914132400579144,0.0,-0.008914132400579144,0.0,"D,0","D,0","D,0",1.7761102277912846,1.7761102277912846,1.7761102277912846,0.0,0.0,True,0.0
0,photo,25,0.02,2,0.0,-0.035938529162746535,-0.008914132400579144,0.0,-0.01782826480115829,0.0,"D,0","D,0","D,0",2.6076429919188193,2.6076429919188193,2.6076429919188193,0.0,0.0,True,0.0
0,photo,25,0.02,2,1.0,-0.035938529162746535,-0.008914132400579144,0.0,-0.01782826480115829,0.0,"D,0","D,0","D,0",2.6076429919188193,2.6076429919188193,2.6076429919188193,0.0,0.0,True,0.0
0,photo,25,0.02,5,0.0,-0.035938529162746535,-0.008914132400579144,0.0,-0.04457066200289572,0.0,"D,0","D,0","D,0",5.102241284301423,5.102241284301423,5.102241284301423,0.0,0.0,True,0.0
0,photo,25,0.02,5,1.0,-0.035938529162746535,-0.008914132400579144,0.0,-0.04457066200289572,0.0,"D,0","D,0","D,0",5.102241284301423,5.102241284301423,5.102241284301423,0.0,0.0,True,0.0
0,photo,25,0.02,10,0.0,-0.035938529162746535,-0.008914132400579144,0.0,-0.08914132400579144,0.0,"D,0","D,0","D,0",9.259905104939095,9.259905104939095,9.259905104939095,0.0,0.0,True,0.0
0,photo,25,0.02,10,1.0,-0.035938529162746535,-0.008914132400579144,0.0,-0.08914132400579144,0.0,"D,0","D,0","D,0",9.259905104939095,9.259905104939095,9.259905104939095,0.0,0.0,True,0.0
0,photo,25,0.05,1,0.0,-0.005938529162746509,-0.018042681262747107,0.0,-0.018042681262747107,0.0,"D,0","D,0","D,0",1.7347345605283686,1.7347345605283686,1.7347345605283686,0.0,0.0,True,0.0
0,photo,25,0.05,1,1.0,-0.005938529162746509,-0.018042681262747107,0.0,-0.018042681262747107,0.0,"D,0","D,0","D,0",1.7347345605283686,1.7347345605283686,1.7347345605283686,0.0,0.0,True,0.0
0,photo,25,0.05,2,0.0,-0.005938529162746509,-0.018042681262747107,0.0,-0.03608536252549421,0.0,"D,0","D,0","D,0",2.554891657392987,2.554891657392987,2.554891657392987,0.0,0.0,True,0.0
0,photo,25,0.05,2,1.0,-0.005938529162746509,-0.018042681262747107,0.0,-0.03608536252549421,0.0,"D,0","D,0","D,0",2.554891657392987,2.554891657392987,2.554891657392987,0.0,0.0,True,0.0
0,photo,25,0.05,5,0.0,-0.005938529162746509,-0.018042681262747107,0.0,-0.09021340631373553,0.0,"D,0","D,0","D,0",5.0153629479868425,5.0153629479868425,5.0153629479868425,0.0,0.0,True,0.0
0,photo,25,0.05,5,1.0,-0.005938529162746509,-0.018042681262747107,0.0,-0.09021340631373553,0.0,"D,0","D,0","D,0",5.0153629479868425,5.0153629479868425,5.0153629479868425,0.0,0.0,True,0.0
0,photo,25,0.05,10,0.0,-0.005938529162746509,-0.018042681262747107,0.0,-0.18042681262747107,0.0,"D,0","D,0","D,0",9.116148432309936,9.116148432309936,9.116148432309936,0.0,0.0,True,0.0
0,photo,25,0.05,10,1.0,-0.005938529162746509,-0.018042681262747107,0.0,-0.18042681262747107,0.0,"D,0","D,0","D,0",9.116148432309936,9.116148432309936,9.116148432309936,0.0,0.0,True,0.0
0,photo,25,0.1,1,0.0,0.044061470837253425,-0.026622908501543696,0.0,-0.07068437933879712,0.0,"F,0","F,0","F,0",1.7273113990749356,1.7273113990749356,1.7273113990749356,0.0,0.0,True,0.0
0,photo,25,0.1,1,1.0,0.044061470837253425,-0.026622908501543696,0.0,-0.07068437933879712,0.0,"F,0","F,0","F,0",1.7273113990749356,1.7273113990749356,1.7273113990749356,0.0,0.0,True,0.0
0,photo,25,0.1,2,0.0,0.044061470837253425,-0.026622908501543696,0.0,-0.09730728784034082,0.0,"F,0","F,0","F,0",2.5459838636488676,2.5459838636488676,2.5459838636488676,0.0,0.0,True,0.0
0,photo,25,0.1,2,1.0,0.044061470837253425,-0.026622908501543696,0.0,-0.09730728784034082,0.0,"F,0","F,0","F,0",2.5459838636488676,2.5459838636488676,2.5459838636488676,0.0,0.0,True,0.0
0,photo,25,0.1,5,0.0,0.044061470837253425,-0.026622908501543696,0.0,-0.1771760133449719,0.0,"F,0","F,0","F,0",5.002001257370663,5.002001257370663,5.002001257370663,0.0,0.0,True,0.0
0,photo,25,0.1,5,1.0,0.044061470837253425,-0.026622908501543696,0.0,-0.1771760133449719,0.0,"F,0","F,0","F,0",5.002001257370663,5.002001257370663,5.002001257370663,0.0,0.0,True,0.0
0,photo,25,0.1,10,0.0,0.044061470837253425,-0.026622908501543696,0.0,-0.3102905558526904,0.0,"F,0","F,0","F,0",9.095363580240324,9.095363580240324,9.095363580240324,0.0,0.0,True,0.0
0,photo,25,0.1,10,1.0,0.044061470837253425,-0.026622908501543696,0.0,-0.3102905558526904,0.0,"F,0","F,0","F,0",9.095363580240324,9.095363580240324,9.095363580240324,0.0,0.0,True,0.0
0,photo,25,0.15,1,0.0,0.09406147083725347,-0.026622908501543696,0.0,-0.12068437933879717,0.0,"F,0","F,0","F,0",1.7273113990749356,1.7273113990749356,1.7273113990749356,0.0,0.0,True,0.0
0,photo,25,0.15,1,1.0,0.09406147083725347,-0.026622908501543696,0.0,-0.12068437933879717,0.0,"F,0","F,0","F,0",1.7273113990749356,1.7273113990749356,1.7273113990749356,0.0,0.0,True,0.0
0,photo,25,0.15,2,0.0,0.09406147083725347,-0.026622908501543696,0.0,-0.14730728784034086,0.0,"F,0","F,0","F,0",2.5459838636488676,2.5459838636488676,2.5459838636488676,0.0,0.0,True,0.0
0,photo,25,0.15,2,1.0,0.09406147083725347,-0.026622908501543696,0.0,-0.14730728784034086,0.0,"F,0","F,0","F,0",2.5459838636488676,2.5459838636488676,2.5459838636488676,0.0,0.0,True,0.0
0,photo,25,0.15,5,0.0,0.09406147083725347,-0.026622908501543696,0.0,-0.22717601334497195,0.0,"F,0","F,0","F,0",5.002001257370663,5.002001257370663,5.002001257370663,0.0,0.0,True,0.0
0,photo,25,0.15,5,1.0,0.09406147083725347,-0.026622908501543696,0.0,-0.22717601334497195,0.0,"F,0","F,0","F,0",5.002001257370663,5.002001257370663,5.002001257370663,0.0,0.0,True,0.0
0,photo,25,0.15,10,0.0,0.09406147083725347,-0.026622908501543696,0.0,-0.36029055585269043,0.0,"F,0","F,0","F,0",9.095363580240324,9.095363580240324,9.095363580240324,0.0,0.0,True,0.0
0,photo,25,0.15,10,1.0,0.09406147083725347,-0.026622908501543696,0.0,-0.36029055585269043,0.0,"F,0","F,0","F,0",9.095363580240324,9.095363580240324,9.095363580240324,0.0,0.0,True,0.0
0,photo,50,0.0,1,0.0,-0.05593852916274655,-0.0038241553256957994,0.0,-0.0038241553256957994,0.0,"D,0","D,0","D,0",1.8061102277912846,1.8061102277912846,1.8061102277912846,0.0,0.0,True,0.0
0,photo,50,0.0,1,1.0,-0.05593852916274655,-0.0038241553256957994,0.0,-0.0038241553256957994,0.0,"D,0","D,0","D,0",1.8061102277912846,1.8061102277912846,1.8061102277912846,0.0,0.0,True,0.0
0,photo,50,0.0,2,0.0,-0.05593852916274655,-0.0038241553256957994,0.0,-0.007648310651391599,0.0,"D,0","D,0","D,0",2.6476429919188194,2.6476429919188194,2.6476429919188194,0.0,0.0,True,0.0
