delta_1,delta_2,margin_1,margin_2,S_1,S_2,V_1,V_2,choice_frequency_gap,choice_value,frequency_gap_relation,value_relation,tie_frequency_gap,tie_value,strict_agreement,strict_rank_reversal,rank_reversal,selection_agreement,regime_1,regime_2,regime_pair,regret,cost_advantage,gain,p,learnability,training_cost,H,gamma
0.150001,0.150001,1.000000000001e-06,1.000000000001e-06,0.0750005,0.0750005,0.0899995,0.0899995,1,1,tie,tie,1,1,0,0,0,1,switchable,switchable,both_switchable,0.0,0.15,0.18,0.5,1.0,0.0,1,1.0
0.150001,0.15350099,1.000000000001e-06,0.0035009900000000094,0.0750005,0.076750495,0.0899995,0.08824950499999999,2,1,region_2_higher,region_1_higher,0,0,0,1,1,0,switchable,switchable,both_switchable,0.0017499950000000042,0.15,0.18,0.5,1.0,0.0,1,1.0
0.150001,0.15700097999999998,1.000000000001e-06,0.00700097999999999,0.0750005,0.07850048999999999,0.0899995,0.08649951,2,1,region_2_higher,region_1_higher,0,0,0,1,1,0,switchable,switchable,both_switchable,0.0034999899999999945,0.15,0.18,0.5,1.0,0.0,1,1.0
0.150001,0.16050097,1.000000000001e-06,0.010500969999999998,0.0750005,0.080250485,0.0899995,0.084749515,2,1,region_2_higher,region_1_higher,0,0,0,1,1,0,switchable,switchable,both_switchable,0.005249984999999999,0.15,0.18,0.5,1.0,0.0,1,1.0
0.150001,0.16400096,1.000000000001e-06,0.014000960000000007,0.0750005,0.08200048,0.0899995,0.08299952,2,1,region_2_higher,region_1_higher,0,0,0,1,1,0,switchable,switchable,both_switchable,0.006999980000000003,0.15,0.18,0.5,1.0,0.0,1,1.0
0.150001,0.16750094999999998,1.000000000001e-06,0.017500949999999987,0.0750005,0.08375047499999999,0.0899995,0.081249525,2,1,region_2_higher,region_1_higher,0,0,0,1,1,0,switchable,switchable,both_switchable,0.008749974999999993,0.15,0.18,0.5,1.0,0.0,1,1.0
0.150001,0.17100094,1.000000000001e-06,0.021000939999999996,0.0750005,0.08550047,0.0899995,0.07949953,2,1,region_2_higher,region_1_higher,0,0,0,1,1,0,switchable,switchable,both_switchable,0.010499969999999997,0.15,0.18,0.5,1.0,0.0,1,1.0
0.150001,0.17450093,1.000000000001e-06,0.024500930000000004,0.0750005,0.087250465,0.0899995,0.077749535,2,1,region_2_higher,region_1_higher,0,0,0,1,1,0,switchable,switchable,both_switchable,0.012249965000000002,0.15,0.18,0.5,1.0,0.0,1,1.0
0.150001,0.17800092,1.000000000001e-06,0.028000920000000012,0.0750005,0.08900046,0.0899995,0.07599953999999999,2,1,region_2_higher,region_1_higher,0,0,0,1,1,0,switchable,switchable,both_switchable,0.013999960000000006,0.15,0.18,0.5,1.0,0.0,1,1.0
0.150001,0.18150091,1.000000000001e-06,0.03150090999999999,0.0750005,0.090750455,0.0899995,0.074249545,2,1,region_2_higher,region_1_higher,0,0,0,1,1,0,switchable,switchable,both_switchable,0.015749954999999996,0.15,0.18,0.5,1.0,0.0,1,1.0
