delta,b,s,ell,h,valid,dV_analytic,classification
0.3,-1.0,-1.2,-0.06,-0.15,False,,
0.3,-1.0,-1.1683333333333332,-0.05049999999999999,-0.15,False,,
0.3,-1.0,-1.1366666666666667,-0.041000000000000036,-0.15,False,,
0.3,-1.0,-1.105,-0.03149999999999997,-0.15,False,,
0.3,-1.0,-1.0733333333333333,-0.021999999999999964,-0.15,False,,
0.3,-1.0,-1.0416666666666665,-0.012499999999999956,-0.15,False,,
0.3,-1.0,-1.01,-0.0030000000000000027,-0.15,False,,
0.3,-1.0,-0.9783333333333333,0.006500000000000006,-0.15,False,,
0.3,-1.0,-0.9466666666666667,0.016000000000000014,-0.15,False,,
0.3,-1.0,-0.915,0.025499999999999967,-0.15,False,,
0.3,-1.0,-0.8833333333333333,0.03500000000000003,-0.15,False,,
0.3,-1.0,-0.8516666666666667,0.044499999999999984,-0.15,False,,
0.3,-1.0,-0.8200000000000001,0.05399999999999999,-0.15,False,,
0.3,-1.0,-0.7883333333333333,0.0635,-0.15,False,,
0.3,-1.0,-0.7566666666666667,0.07299999999999998,-0.15,False,,
0.3,-1.0,-0.7250000000000001,0.08249999999999996,-0.15,False,,
0.3,-1.0,-0.6933333333333334,0.092,-0.15,False,,
0.3,-1.0,-0.6616666666666667,0.10149999999999998,-0.15,False,,
0.3,-1.0,-0.63,0.11099999999999999,-0.15,False,,
0.3,-1.0,-0.5983333333333334,0.12049999999999997,-0.15,False,,
0.3,-1.0,-0.5666666666666667,0.13,-0.15,False,,
0.3,-1.0,-0.535,0.13949999999999999,-0.15,False,,
0.3,-1.0,-0.5033333333333334,0.14899999999999997,-0.15,False,,
0.3,-1.0,-0.4716666666666667,0.1585,-0.15,False,,
0.3,-1.0,-0.44000000000000006,0.16799999999999998,-0.15,False,,
0.3,-1.0,-0.40833333333333344,0.17749999999999996,-0.15,False,,
0.3,-1.0,-0.3766666666666667,0.187,-0.15,False,,
0.3,-1.0,-0.3450000000000001,0.19649999999999995,-0.15,False,,
0.3,-1.0,-0.31333333333333346,0.20599999999999996,-0.15,False,,
0.3,-1.0,-0.28166666666666673,0.21549999999999997,-0.15,False,,
0.3,-1.0,-0.2500000000000001,0.22499999999999998,-0.15,False,,
0.3,-1.0,-0.21833333333333338,0.2345,-0.15,False,,
0.3,-1.0,-0.18666666666666676,0.24399999999999997,-0.15,False,,
0.3,-1.0,-0.15500000000000003,0.2535,-0.15,False,,
0.3,-1.0,-0.12333333333333352,0.26299999999999996,-0.15,False,,
0.3,-1.0,-0.09166666666666679,0.27249999999999996,-0.15,False,,
0.3,-1.0,-0.06000000000000005,0.282,-0.15,False,,
0.3,-1.0,-0.028333333333333544,0.2914999999999999,-0.15,False,,
0.3,-1.0,0.0033333333333331883,0.30099999999999993,-0.15,False,,
0.3,-1.0,0.03499999999999992,0.31049999999999994,-0.15,False,,
0.3,-1.0,0.06666666666666665,0.32,-0.15,False,,
0.3,-1.0,0.09833333333333316,0.32949999999999996,-0.15,False,,
0.3,-1.0,0.1299999999999999,0.33899999999999997,-0.15,False,,
0.3,-1.0,0.16166666666666663,0.3485,-0.15,False,,
0.3,-1.0,0.19333333333333313,0.35799999999999993,-0.15,False,,
0.3,-1.0,0.22499999999999987,0.36749999999999994,-0.15,False,,
0.3,-1.0,0.2566666666666666,0.37699999999999995,-0.15,False,,
0.3,-1.0,0.2883333333333331,0.3864999999999999,-0.15,False,,
0.3,-1.0,0.31999999999999984,0.3959999999999999,-0.15,False,,
0.3,-1.0,0.35166666666666657,0.40549999999999997,-0.15,False,,
0.3,-1.0,0.3833333333333331,0.4149999999999999,-0.15,False,,
0.3,-1.0,0.4149999999999998,0.42449999999999993,-0.15,False,,
0.3,-1.0,0.44666666666666655,0.43399999999999994,-0.15,False,,
0.3,-1.0,0.47833333333333306,0.4434999999999999,-0.15,False,,
0.3,-1.0,0.5099999999999998,0.45299999999999996,-0.15,False,,
0.3,-1.0,0.5416666666666665,0.4624999999999999,-0.15,False,,
0.3,-1.0,0.573333333333333,0.47199999999999986,-0.15,False,,
0.3,-1.0,0.6049999999999998,0.48149999999999993,-0.15,False,,
0.3,-1.0,0.6366666666666665,0.49099999999999994,-0.15,False,,
