case,d_0,a,v,g,regime,x_star,y_star,Q_star,H_star,y_numeric,Q_numeric,argmin_abs_error,Q_abs_error,Q_train,Q_route,mixed_strictly_better_than_both
train,1.0,0.5,1.0,1.0,TRAIN,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,1.5,False
boundary_train_mixed,1.0,1.0,1.0,1.0,TRAIN,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.5,False
mixed,1.0,1.5,1.0,1.0,MIXED,0.5,0.5,1.375,1.375,0.5,1.375,0.0,0.0,1.5,1.5,True
boundary_mixed_route,1.0,2.0,1.0,1.0,ROUTE,0.0,1.0,1.5,1.5,1.0,1.5,0.0,0.0,2.0,1.5,False
route,1.0,2.5,1.0,1.0,ROUTE,0.0,1.0,1.5,1.5,1.0,1.5,0.0,0.0,2.5,1.5,False
small_d0,1e-06,1.5,1.0,1.0,ROUTE,0.0,1e-06,1.0000004999999999e-06,1.0000004999999999e-06,1e-06,1.0000004999999999e-06,0.0,0.0,1.5e-06,1.0000004999999999e-06,False
fast_route,1.0,1.5,100.0,1.0,ROUTE,0.0,1.0,0.015,0.015,1.0,0.015,0.0,0.0,1.5,0.015,False
slow_route,1.0,1.5,0.05,1.0,TRAIN,1.0,0.0,1.5,1.5,0.0,1.5,0.0,0.0,1.5,30.0,False
cheap_train,1.0,0.01,1.0,1.0,TRAIN,1.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.01,1.5,False
costly_train,1.0,10.0,1.0,1.0,ROUTE,0.0,1.0,1.5,1.5,1.0,1.5,0.0,0.0,10.0,1.5,False
small_gain,1.0,1.5,1.0,0.01,ROUTE,0.0,1.0,0.51,51.0,1.0,0.51,0.0,0.0,1.5,0.51,False
large_gain,1.0,1.5,1.0,10.0,TRAIN,1.0,0.0,1.5,0.15,0.0,1.5,0.0,0.0,1.5,10.5,False
