seed,model,validation_balanced_accuracy,test_balanced_accuracy
0,F_0,0.9443296237413884,0.9585456885456886
0,D,0.9583951598657482,0.9695066495066496
1,F_0,0.9469626769626769,0.9466304539833951
1,D,0.9722093522093523,0.9718071012188659
2,F_0,0.9446610896610895,0.9445548489666136
2,D,0.9665744315744316,0.949960254372019
3,F_0,0.9526104676104676,0.966565094506271
3,D,0.9609523809523809,0.9635402629520277
4,F_0,0.9583204633204632,0.9613098392510157
4,D,0.9583955383955385,0.9663355792767557
5,F_0,0.9522610846140257,0.952990132990133
5,D,0.9494700582935878,0.9528356928356928
6,F_0,0.9498369798369797,0.9464498952734248
6,D,0.9552380952380952,0.9750575365281247
7,F_0,0.9638052338052339,0.9417949882655764
7,D,0.9778485628485629,0.9692677972089736
8,F_0,0.9722093522093521,0.9496291669821082
8,D,0.9501244101244101,0.9698198198198197
9,F_0,0.957988997400762,0.9640304590304589
9,D,0.9775968405380169,0.9638009438009438
