seed,grouping,competence,classes,size
0,competence,1,"[1,2,6,8]",4
0,competence,2,[7],1
0,competence,3,"[3,4,5,9]",4
0,competence,4,[0],1
0,random,1,"[0,4,6,9]",4
0,random,2,[3],1
0,random,3,"[1,2,5,8]",4
0,random,4,[7],1
1,competence,1,"[1,2,4,5,7,8,9]",7
1,competence,2,[6],1
1,competence,3,[3],1
1,competence,4,[0],1
1,random,1,"[1,2,3,5,7,8,9]",7
1,random,2,[4],1
1,random,3,[6],1
1,random,4,[0],1
2,competence,1,"[2,8]",2
2,competence,2,"[0,1,3,4,5,9]",6
2,competence,3,[7],1
2,competence,4,[6],1
2,random,1,"[4,6]",2
2,random,2,"[1,2,3,5,7,9]",6
2,random,3,[8],1
2,random,4,[0],1
3,competence,1,"[1,3,4,5,6,7,8]",7
3,competence,2,[9],1
3,competence,3,[2],1
3,competence,4,[0],1
3,random,1,"[0,2,4,5,6,7,9]",7
3,random,2,[8],1
3,random,3,[3],1
3,random,4,[1],1
4,competence,1,"[4,7,9]",3
4,competence,2,"[1,6,8]",3
4,competence,3,"[0,5]",2
4,competence,4,"[2,3]",2
4,random,1,"[1,2,4]",3
4,random,2,"[3,7,8]",3
4,random,3,"[6,9]",2
4,random,4,"[0,5]",2
5,competence,1,"[1,3,4,5,6,8]",6
5,competence,2,"[7,9]",2
5,competence,3,[2],1
5,competence,4,[0],1
5,random,1,"[0,4,6,7,8,9]",6
5,random,2,"[1,2]",2
5,random,3,[3],1
5,random,4,[5],1
6,competence,1,"[1,3,4,5,6,8,9]",7
6,competence,2,[7],1
6,competence,3,[0],1
6,competence,4,[2],1
6,random,1,"[1,2,3,5,6,7,9]",7
6,random,2,[4],1
6,random,3,[0],1
6,random,4,[8],1
7,competence,1,"[2,3,5,6,8,9]",6
7,competence,2,"[1,4]",2
7,competence,3,[0],1
7,competence,4,[7],1
7,random,1,"[0,1,2,5,6,9]",6
7,random,2,"[7,8]",2
7,random,3,[4],1
7,random,4,[3],1
8,competence,1,"[1,3,5,7,8,9]",6
8,competence,2,[6],1
8,competence,3,"[0,4]",2
8,competence,4,[2],1
8,random,1,"[1,2,4,5,7,9]",6
8,random,2,[0],1
8,random,3,"[3,8]",2
8,random,4,[6],1
9,competence,1,"[0,2]",2
9,competence,2,"[1,4,5,7,8,9]",6
9,competence,3,[3],1
9,competence,4,[6],1
9,random,1,"[6,7]",2
9,random,2,"[0,1,4,5,8,9]",6
9,random,3,[3],1
9,random,4,[2],1
