seed,grouping,label_mode,budget,intervention,source_groups,actual_examples,validation_balanced_accuracy,test_balanced_accuracy
0,competence,pseudo,5,0,[],0,0.9443296237413884,0.9585456885456886
0,competence,pseudo,5,1,[1],5,0.944493022434199,0.9585456885456886
0,competence,pseudo,5,2,[2],5,0.9443296237413884,0.9585456885456886
0,competence,pseudo,5,3,[3],5,0.9443296237413884,0.9585456885456886
0,competence,pseudo,5,4,[4],5,0.9443296237413884,0.9585456885456886
0,competence,pseudo,5,1+2,"[1,2]",10,0.9472708002119766,0.9585456885456886
0,competence,pseudo,5,1+3,"[1,3]",10,0.944493022434199,0.9585456885456886
0,competence,pseudo,5,1+4,"[1,4]",10,0.9472708002119766,0.9585456885456886
0,competence,pseudo,5,2+3,"[2,3]",10,0.9443296237413884,0.9585456885456886
0,competence,pseudo,5,2+4,"[2,4]",10,0.9443296237413884,0.9585456885456886
0,competence,pseudo,5,3+4,"[3,4]",10,0.9443296237413884,0.9585456885456886
0,competence,pseudo,10,0,[],0,0.9443296237413884,0.9585456885456886
0,competence,pseudo,10,1,[1],10,0.9443296237413884,0.9585456885456886
0,competence,pseudo,10,2,[2],10,0.9443296237413884,0.9585456885456886
0,competence,pseudo,10,3,[3],10,0.9386106694930223,0.9612483912483911
0,competence,pseudo,10,4,[4],10,0.9443296237413884,0.9585456885456886
0,competence,pseudo,10,1+2,"[1,2]",20,0.9443296237413884,0.9585456885456886
0,competence,pseudo,10,1+3,"[1,3]",20,0.9386106694930223,0.9612483912483911
0,competence,pseudo,10,1+4,"[1,4]",20,0.9415518459636107,0.9585456885456886
0,competence,pseudo,10,2+3,"[2,3]",20,0.9413884472708002,0.9612483912483911
0,competence,pseudo,10,2+4,"[2,4]",20,0.9443296237413884,0.9585456885456886
0,competence,pseudo,10,3+4,"[3,4]",20,0.9386106694930223,0.9612483912483911
0,competence,pseudo,20,0,[],0,0.9443296237413884,0.9585456885456886
0,competence,pseudo,20,1,[1],20,0.944493022434199,0.9585456885456886
0,competence,pseudo,20,2,[2],20,0.9415518459636107,0.9585456885456886
0,competence,pseudo,20,3,[3],20,0.9472708002119766,0.9585456885456886
0,competence,pseudo,20,4,[4],20,0.9443296237413884,0.9585456885456886
0,competence,pseudo,20,1+2,"[1,2]",40,0.9386106694930225,0.9585456885456886
0,competence,pseudo,20,1+3,"[1,3]",40,0.9417903197314962,0.9585456885456886
0,competence,pseudo,20,1+4,"[1,4]",40,0.9415518459636107,0.9585456885456886
0,competence,pseudo,20,2+3,"[2,3]",40,0.9471074015191663,0.9585456885456886
0,competence,pseudo,20,2+4,"[2,4]",40,0.9415518459636107,0.9585456885456886
0,competence,pseudo,20,3+4,"[3,4]",40,0.9472708002119766,0.9585456885456886
0,competence,pseudo,40,0,[],0,0.9443296237413884,0.9585456885456886
0,competence,pseudo,40,1,[1],40,0.9301139374668785,0.9583912483912483
0,competence,pseudo,40,2,[2],36,0.9415518459636107,0.9585456885456886
0,competence,pseudo,40,3,[3],40,0.9441662250485778,0.9612483912483911
0,competence,pseudo,40,4,[4],36,0.9443296237413884,0.9585456885456886
0,competence,pseudo,40,1+2,"[1,2]",76,0.9273361596891009,0.9583912483912483
0,competence,pseudo,40,1+3,"[1,3]",80,0.9386106694930225,0.9556134706134707
