seed,split,sample_index
0,train,3
0,train,5
0,train,7
0,train,9
0,train,13
0,train,14
0,train,16
0,train,18
0,train,19
0,train,20
0,train,22
0,train,23
0,train,26
0,train,29
0,train,31
0,train,33
0,train,36
0,train,38
0,train,43
0,train,44
0,train,47
0,train,48
0,train,53
0,train,55
0,train,60
0,train,61
0,train,62
0,train,65
0,train,66
0,train,69
0,train,70
0,train,72
0,train,76
0,train,80
0,train,83
0,train,89
0,train,91
0,train,92
0,train,93
0,train,94
0,train,98
0,train,104
0,train,108
0,train,109
0,train,111
0,train,112
0,train,114
0,train,115
0,train,118
0,train,120
0,train,122
0,train,127
0,train,133
0,train,135
0,train,136
0,train,137
0,train,139
0,train,141
0,train,142
0,train,143
0,train,144
0,train,145
0,train,146
0,train,151
0,train,152
0,train,153
0,train,154
0,train,156
0,train,160
0,train,161
0,train,163
0,train,167
0,train,169
0,train,172
0,train,174
0,train,175
0,train,176
0,train,178
0,train,179
0,train,180
0,train,181
0,train,182
0,train,183
0,train,187
0,train,192
0,train,193
0,train,195
0,train,196
0,train,200
0,train,201
0,train,203
0,train,206
0,train,207
0,train,208
0,train,210
0,train,217
0,train,219
0,train,221
0,train,222
0,train,223
0,train,224
0,train,228
0,train,229
0,train,230
0,train,232
0,train,233
0,train,234
0,train,237
0,train,238
0,train,241
0,train,242
0,train,244
0,train,249
0,train,250
0,train,256
0,train,257
0,train,259
0,train,260
0,train,261
0,train,262
0,train,266
0,train,268
0,train,269
0,train,270
0,train,271
0,train,272
0,train,273
0,train,285
0,train,287
0,train,289
0,train,291
0,train,292
0,train,295
0,train,296
0,train,297
0,train,302
0,train,311
0,train,313
0,train,315
0,train,316
0,train,317
0,train,322
0,train,325
0,train,327
0,train,330
0,train,332
0,train,333
0,train,337
0,train,338
0,train,343
0,train,348
0,train,350
0,train,352
0,train,355
0,train,357
0,train,359
0,train,363
0,train,365
0,train,368
0,train,370
0,train,371
0,train,378
0,train,385
0,train,390
0,train,391
0,train,392
0,train,394
0,train,395
0,train,396
0,train,399
0,train,400
0,train,401
0,train,402
0,train,404
0,train,408
0,train,409
0,train,411
0,train,415
0,train,418
0,train,419
0,train,421
0,train,424
0,train,427
0,train,428
0,train,429
0,train,431
0,train,434
0,train,435
0,train,443
0,train,444
0,train,445
0,train,447
0,train,450
0,train,451
0,train,453
0,train,455
0,train,456
0,train,457
0,train,460
0,train,461
0,train,462
0,train,468
0,train,470
0,train,471
0,train,473
0,train,477
0,train,480
0,train,483
0,train,485
0,train,486
0,train,488
0,train,495
0,train,498
0,train,501
0,train,503
0,train,507
0,train,508
0,train,510
0,train,512
0,train,517
0,train,518
0,train,523
0,train,525
0,train,529
0,train,532
0,train,533
0,train,534
0,train,536
0,train,537
0,train,541
0,train,542
0,train,543
0,train,544
0,train,546
0,train,547
0,train,549
0,train,550
0,train,552
0,train,554
0,train,558
0,train,559
0,train,561
0,train,563
0,train,566
0,train,570
0,train,571
0,train,572
0,train,574
0,train,577
0,train,578
0,train,579
0,train,580
0,train,585
0,train,586
0,train,588
0,train,589
0,train,591
0,train,592
0,train,594
0,train,595
0,train,596
