seed_i,seed_j,ari
0,1,0.03669724770642202
0,2,0.2808219178082192
0,3,0.03669724770642202
0,4,0.23728813559322035
0,5,0.1780821917808219
0,6,0.3119266055045872
0,7,0.1780821917808219
0,8,-0.0273972602739726
0,9,-0.0273972602739726
1,2,-0.04229607250755287
1,3,0.017857142857142856
1,4,0.02476780185758514
1,5,-0.04229607250755287
1,6,0.017857142857142856
1,7,-0.04229607250755287
1,8,0.229607250755287
1,9,0.6827794561933535
2,3,-0.13293051359516617
2,4,-0.09223300970873786
2,5,0.03017241379310345
2,6,0.229607250755287
2,7,-0.0668103448275862
2,8,0.1271551724137931
2,9,0.03017241379310345
3,4,0.02476780185758514
3,5,0.6827794561933535
3,6,0.4642857142857143
3,7,-0.04229607250755287
3,8,0.229607250755287
3,9,0.229607250755287
4,5,0.1262135922330097
4,6,0.02476780185758514
4,7,-0.09223300970873786
4,8,-0.09223300970873786
4,9,0.1262135922330097
5,6,0.6827794561933535
5,7,0.1271551724137931
5,8,0.1271551724137931
5,9,0.1271551724137931
6,7,0.3202416918429003
6,8,0.229607250755287
6,9,0.229607250755287
7,8,0.03017241379310345
7,9,-0.16379310344827586
8,9,0.41810344827586204
