scope,grouping,label_mode,budget,i,j,n,mean_gamma,std_gamma,median_gamma,min_gamma,max_gamma,fraction_positive,fraction_negative,bootstrap95_low,bootstrap95_high
pair,competence,pseudo,5,1,2,10,0.000563492063492066,0.001781918364063142,0.0,0.0,0.005634920634920659,0.1,0.0,0.0,0.0016904761904761977
pair,competence,pseudo,5,1,3,10,-0.0005414363943775702,0.0028678207118291482,0.0,-0.0056438791732909,0.0028571428571430024,0.2,0.2,-0.002233704292527816,0.0011190476190475972
pair,competence,pseudo,5,1,4,10,0.0002777777777777768,0.0008784104611578409,0.0,0.0,0.002777777777777657,0.2,0.0,0.0,0.0008333333333333081
pair,competence,pseudo,5,2,3,10,0.000826254826254802,0.0018292009614470305,0.0,0.0,0.005405405405405239,0.3,0.0,0.0,0.00194446589446581
pair,competence,pseudo,5,2,4,10,0.0005480480480480443,0.0017463989431478195,0.0,-0.002777777777777657,0.002777777777777879,0.3,0.1,-0.0005555555555555092,0.001388888888888873
pair,competence,pseudo,5,3,4,10,0.0002702702702702564,0.001563693649831383,0.0,-0.002777777777777657,0.002777777777777657,0.2,0.1,-0.0005555555555555314,0.0011036036036035535
pair,competence,pseudo,10,1,2,10,-0.00021374315491964335,0.0020632469781633528,0.0,-0.005480480480480554,0.002941176470588225,0.3,0.2,-0.0016039568980745769,0.0008986928104574692
pair,competence,pseudo,10,1,3,10,-0.0013990461049284476,0.0029760689268558474,0.0,-0.008183183183183229,0.002777777777777657,0.1,0.4,-0.0031117845786963177,0.00024509803921567483
pair,competence,pseudo,10,1,4,10,-0.0002539304009892551,0.001554109835729928,0.0,-0.002777777777777879,0.002702702702702564,0.2,0.2,-0.0011036036036036311,0.0005882352941176006
pair,competence,pseudo,10,2,3,10,0.00031617331617330715,0.0024388244042904674,0.0,-0.002702702702702675,0.005634920634920437,0.3,0.3,-0.0010735735735735497,0.0017209352209351717
pair,competence,pseudo,10,2,4,10,4.6798899740008173e-05,0.0029310794649606226,0.0,-0.005405405405405461,0.005634920634920437,0.3,0.3,-0.0016216216216216395,0.0017400607540312295
pair,competence,pseudo,10,3,4,10,-0.0008271506800918927,0.001869004239805048,0.0,-0.002941176470588225,0.002777777777777657,0.1,0.4,-0.001915739268680483,0.00028528528528526387
pair,competence,pseudo,20,1,2,10,-0.0019453402982814948,0.0036920919358596964,-0.001351351351351393,-0.008183183183183007,0.002777777777777657,0.3,0.5,-0.0041461011431599675,7.507507507465427e-06
pair,competence,pseudo,20,1,3,10,-8.403361344555549e-06,0.003225205082895163,5.551115123125783e-17,-0.005718954248365882,0.005555555555555536,0.5,0.3,-0.0019543710727534217,0.0019298584298583778
pair,competence,pseudo,20,1,4,10,-0.002478335478335492,0.004855592147952444,0.0,-0.014056577585989327,0.002777777777777657,0.2,0.4,-0.005349821460115572,7.507507507475975e-06
pair,competence,pseudo,20,2,3,10,-0.0002548262548262681,0.0015521378731515759,0.0,-0.002702702702702786,0.002777777777777768,0.2,0.3,-0.0010810810810811034,0.0005868725868725669
pair,competence,pseudo,20,2,4,10,-0.0005246296716884813,0.0025824026085943344,0.0,-0.0027820677820676876,0.005718954248366104,0.1,0.4,-0.0019077649077648418,0.0011672092260327839
pair,competence,pseudo,20,3,4,10,0.0002610089080677724,0.002446321732243771,0.0,-0.002941176470588225,0.005555555555555536,0.3,0.3,-0.0010810810810809818,0.0019201680672268802
pair,competence,pseudo,40,1,2,10,-0.0002782446311857978,0.004207919000180198,-5.551115123125783e-17,-0.008258258258258433,0.005634920634920437,0.4,0.5,-0.002808604928457811,0.0022002678098266113
pair,competence,pseudo,40,1,3,10,-0.00196078431372535,0.004332723591141603,-0.0013867438867437576,-0.008496732026143539,0.005405405405405461,0.2,0.6,-0.004479065725389072,0.0005246889746890928
pair,competence,pseudo,40,1,4,10,0.000811277664218868,0.005475677902937773,0.0027027027027027306,-0.01135816488757646,0.008421656951068668,0.6,0.3,-0.002819401859842958,0.0038616962550786223
pair,competence,pseudo,40,2,3,10,-0.00021553486259362487,0.002392418587760323,1.1102230246251565e-16,-0.002777777777777768,0.0028571428571427804,0.5,0.4,-0.0015823302293889398,0.0011499463749463975
pair,competence,pseudo,40,2,4,10,-0.0008183183183182896,0.004147266301630066,-3.7537537537546406e-05,-0.008337623337623334,0.005634920634920437,0.4,0.5,-0.003337194021752841,0.0016442832538420549
pair,competence,pseudo,40,3,4,10,-0.00028614328614327,0.003598728670617653,0.0,-0.008416988416988236,0.002941176470588225,0.4,0.3,-0.0025584191334190915,0.0016847067655891498
pair,competence,true,5,1,2,10,0.0005555555555555758,0.0011712139482105536,0.0,0.0,0.002777777777777879,0.2,0.0,0.0,0.0013888888888889395
pair,competence,true,5,1,3,10,6.182653241493252e-06,0.0026041468093433075,0.0,-0.005405405405405461,0.0028571428571430024,0.3,0.3,-0.0016066290029525133,0.0013959295429883621
