seed,grouping,label_mode,budget,competence,classes,requested_examples,actual_examples,transfer_indices
0,competence,pseudo,5,1,"[1,2,6,8]",5,5,"[476,1092,1185,1264,1462]"
0,competence,pseudo,5,2,[7],5,5,"[191,963,1036,1348,1422]"
0,competence,pseudo,5,3,"[3,4,5,9]",5,5,"[100,162,231,339,1567]"
0,competence,pseudo,5,4,[0],5,5,"[642,718,772,1388,1715]"
0,competence,pseudo,10,1,"[1,2,6,8]",10,10,"[90,205,277,284,436,1014,1123,1353,1394,1648]"
0,competence,pseudo,10,2,[7],10,10,"[52,86,147,240,263,1019,1036,1269,1348,1674]"
0,competence,pseudo,10,3,"[3,4,5,9]",10,10,"[771,1116,1118,1147,1328,1444,1520,1562,1606,1611]"
0,competence,pseudo,10,4,[0],10,10,"[209,305,694,772,855,902,1106,1323,1388,1715]"
0,competence,pseudo,20,1,"[1,2,6,8]",20,20,"[8,218,258,298,310,482,538,846,906,1123,1175,1410,1436,1437,1462,1495,1529,1585,1596,1619]"
0,competence,pseudo,20,2,[7],20,20,"[27,147,299,403,438,472,690,698,870,1019,1036,1073,1139,1164,1238,1269,1348,1422,1467,1653]"
0,competence,pseudo,20,3,"[3,4,5,9]",20,20,"[45,68,190,239,318,377,506,539,605,677,710,896,938,988,1350,1397,1520,1611,1772,1788]"
0,competence,pseudo,20,4,[0],20,20,"[30,49,126,130,209,286,564,642,854,902,915,974,980,1106,1323,1487,1579,1677,1687,1716]"
0,competence,pseudo,40,1,"[1,2,6,8]",40,40,"[106,123,129,164,170,284,360,388,538,556,728,792,829,846,906,907,911,1014,1123,1175,1185,1237,1264,1271,1273,1299,1308,1315,1321,1353,1372,1436,1462,1495,1530,1648,1666,1669,1725,1734]"
0,competence,pseudo,40,2,[7],40,36,"[17,27,52,86,147,191,240,263,299,403,438,472,560,690,698,820,870,894,963,1009,1019,1036,1073,1121,1139,1164,1238,1269,1348,1422,1442,1467,1653,1674,1748,1779]"
0,competence,pseudo,40,3,"[3,4,5,9]",40,40,"[4,189,190,231,246,339,361,381,506,521,539,633,946,990,1116,1118,1136,1194,1202,1216,1221,1254,1278,1282,1347,1424,1440,1444,1518,1554,1568,1584,1617,1650,1671,1704,1706,1738,1741,1778]"
0,competence,pseudo,40,4,[0],40,36,"[30,49,126,130,140,185,202,209,286,305,328,334,386,564,642,694,718,772,854,855,902,915,974,980,1025,1106,1235,1323,1388,1487,1555,1579,1677,1687,1715,1716]"
0,competence,true,5,1,"[1,2,6,8]",5,5,"[476,1092,1185,1264,1462]"
0,competence,true,5,2,[7],5,5,"[191,963,1036,1348,1422]"
0,competence,true,5,3,"[3,4,5,9]",5,5,"[100,162,231,339,1567]"
0,competence,true,5,4,[0],5,5,"[642,718,772,1388,1715]"
0,competence,true,10,1,"[1,2,6,8]",10,10,"[90,205,277,284,436,1014,1123,1353,1394,1648]"
0,competence,true,10,2,[7],10,10,"[52,86,147,240,263,1019,1036,1269,1348,1674]"
0,competence,true,10,3,"[3,4,5,9]",10,10,"[771,1116,1118,1147,1328,1444,1520,1562,1606,1611]"
0,competence,true,10,4,[0],10,10,"[209,305,694,772,855,902,1106,1323,1388,1715]"
0,competence,true,20,1,"[1,2,6,8]",20,20,"[8,218,258,298,310,482,538,846,906,1123,1175,1410,1436,1437,1462,1495,1529,1585,1596,1619]"
0,competence,true,20,2,[7],20,20,"[27,147,299,403,438,472,690,698,870,1019,1036,1073,1139,1164,1238,1269,1348,1422,1467,1653]"
0,competence,true,20,3,"[3,4,5,9]",20,20,"[45,68,190,239,318,377,506,539,605,677,710,896,938,988,1350,1397,1520,1611,1772,1788]"
0,competence,true,20,4,[0],20,20,"[30,49,126,130,209,286,564,642,854,902,915,974,980,1106,1323,1487,1579,1677,1687,1716]"
0,competence,true,40,1,"[1,2,6,8]",40,40,"[106,123,129,164,170,284,360,388,538,556,728,792,829,846,906,907,911,1014,1123,1175,1185,1237,1264,1271,1273,1299,1308,1315,1321,1353,1372,1436,1462,1495,1530,1648,1666,1669,1725,1734]"
0,competence,true,40,2,[7],40,36,"[17,27,52,86,147,191,240,263,299,403,438,472,560,690,698,820,870,894,963,1009,1019,1036,1073,1121,1139,1164,1238,1269,1348,1422,1442,1467,1653,1674,1748,1779]"
0,competence,true,40,3,"[3,4,5,9]",40,40,"[4,189,190,231,246,339,361,381,506,521,539,633,946,990,1116,1118,1136,1194,1202,1216,1221,1254,1278,1282,1347,1424,1440,1444,1518,1554,1568,1584,1617,1650,1671,1704,1706,1738,1741,1778]"
0,competence,true,40,4,[0],40,36,"[30,49,126,130,140,185,202,209,286,305,328,334,386,564,642,694,718,772,854,855,902,915,974,980,1025,1106,1235,1323,1388,1487,1555,1579,1677,1687,1715,1716]"
0,random,pseudo,5,1,"[0,4,6,9]",5,5,"[514,650,1005,1060,1194]"
0,random,pseudo,5,2,[3],5,5,"[749,964,1216,1332,1518]"
0,random,pseudo,5,3,"[1,2,5,8]",5,5,"[57,123,170,227,1741]"
0,random,pseudo,5,4,[7],5,5,"[698,870,894,1348,1748]"
0,random,pseudo,10,1,"[0,4,6,9]",10,10,"[100,209,282,290,381,924,1023,1092,1328,1562]"
0,random,pseudo,10,2,[3],10,10,"[189,190,231,339,389,1052,1240,1347,1350,1566]"
