seed,N,pair,c,gamma_learn,gamma_oper,delta_gamma,delta_class,sign_change,route_interaction_count,route_interaction_l1
0,25,photo-art_painting,0.0,0.0407312112722605,0.0086458221437715,-0.032085389128489,ABSORB,False,1,1
0,25,photo-art_painting,0.02,0.0407312112722605,0.0136458221437715,-0.027085389128489002,ABSORB,False,1,1
0,25,photo-art_painting,0.05,0.0407312112722605,0.0268920101925758,-0.013839201079684702,ABSORB,False,2,2
0,25,photo-art_painting,0.1,0.0407312112722605,0.0308993079460568,-0.009831903326203702,ABSORB,False,0,0
0,25,photo-art_painting,0.15,0.0407312112722605,0.0348878797025712,-0.005843331569689303,ABSORB,False,1,1
0,25,photo-cartoon,0.0,0.0826236661530928,0.006432889314185,-0.0761907768389078,ABSORB,False,1,1
0,25,photo-cartoon,0.02,0.0826236661530928,0.0085348805870435,-0.0740887855660493,ABSORB,False,0,0
0,25,photo-cartoon,0.05,0.0826236661530928,0.0145049029718807,-0.0681187631812121,ABSORB,False,2,2
0,25,photo-cartoon,0.1,0.0826236661530928,0.0486042906913352,-0.0340193754617576,ABSORB,False,1,2
0,25,photo-cartoon,0.15,0.0826236661530928,0.0736042906913351,-0.009019375461757698,ABSORB,False,1,2
0,25,photo-sketch,0.0,0.1345307687296913,0.0086949933586695,-0.1258357753710218,ABSORB,False,2,3
0,25,photo-sketch,0.02,0.1345307687296913,0.0198212066011332,-0.1147095621285581,ABSORB,False,2,2
0,25,photo-sketch,0.05,0.1345307687296913,0.0384455393382175,-0.09608522939147379,ABSORB,False,3,3
0,25,photo-sketch,0.1,0.1345307687296913,0.0858168541067884,-0.04871391462290291,ABSORB,False,3,4
0,25,photo-sketch,0.15,0.1345307687296913,0.1255046364164195,-0.00902613231327179,ABSORB,False,2,2
0,25,art_painting-cartoon,0.0,0.0522517105769787,0.0070082661001442,-0.0452434444768345,ABSORB,False,1,1
0,25,art_painting-cartoon,0.02,0.0522517105769787,0.0091102573730027,-0.043141453203976,ABSORB,False,0,0
0,25,art_painting-cartoon,0.05,0.0522517105769787,0.0151347290534553,-0.0371169815235234,ABSORB,False,2,3
0,25,art_painting-cartoon,0.1,0.0522517105769787,0.0365756666849104,-0.015676043892068302,ABSORB,False,1,1
