N,pair,mean,std,min,max,n_positive,n_negative,n_zero
25,art_painting-cartoon,0.057339929622526854,0.05392728179969843,-0.0038854746125094,0.144166928986688,4,1,0
25,art_painting-sketch,0.062488270476241135,0.02956480170552649,0.010604470541789,0.0824658103365979,5,0,0
25,cartoon-sketch,0.06247012675233756,0.07730981025945553,-0.0053274550222267,0.1796584225716831,4,1,0
25,photo-art_painting,0.003803356318515261,0.025898694750909185,-0.025404638726012,0.0407312112722605,2,3,0
25,photo-cartoon,0.07207447573746525,0.0540798240093088,0.026640597383867,0.1616544222495773,5,0,0
25,photo-sketch,0.09242720122219363,0.034763962422673385,0.051308026071735,0.1345307687296913,5,0,0
50,art_painting-cartoon,0.09689339362636577,0.025923473123264578,0.060002357796417,0.1304215610134218,5,0,0
50,art_painting-sketch,0.23480646432016766,0.03950543582639933,0.178716231782526,0.2790771161536605,5,0,0
50,cartoon-sketch,0.20066344443833234,0.030882016084821426,0.1642735155477657,0.2436675708960836,5,0,0
50,photo-art_painting,0.0760218339184455,0.032820446363837824,0.0322202037181197,0.1176674511734499,5,0,0
50,photo-cartoon,0.1493283020389678,0.017661162839791633,0.1317042364154211,0.1743765588028093,5,0,0
50,photo-sketch,0.2719100103879694,0.051210557701443615,0.1892981001149457,0.3142384560378607,5,0,0
100,art_painting-cartoon,0.13824272480292837,0.034330071713699575,0.0912410570796763,0.1784519560933153,5,0,0
100,art_painting-sketch,0.3908266398777541,0.045302585979269325,0.3493052737868475,0.4661200766180581,5,0,0
100,cartoon-sketch,0.36642978963330824,0.053852234593760984,0.3019624928024441,0.4259627815883785,5,0,0
100,photo-art_painting,0.09818519145754055,0.04471179579945223,0.033682392571068,0.1415233781986825,5,0,0
100,photo-cartoon,0.1924564929742254,0.030941241981592933,0.1590278240040434,0.2248046479260899,5,0,0
100,photo-sketch,0.42940958365862114,0.031063452894066874,0.3901015272728657,0.4702276214489974,5,0,0
