N,pair,c,mean_gamma_oper,std_gamma_oper,min,max,n_positive,n_negative,n_zero
25,art_painting-cartoon,0.0,0.007635267181780139,0.005607510248635101,0.0,0.0136687582768399,4,0,1
25,art_painting-cartoon,0.02,0.00791674344135606,0.011007894275230008,-0.0060334415278727,0.0192171892461046,3,2,0
25,art_painting-cartoon,0.05,0.00816686112274866,0.01528907453934182,-0.0168276787629967,0.0195161840178531,4,1,0
25,art_painting-cartoon,0.1,0.025205496902516923,0.017800122893497916,-0.0030311731229091,0.041681315117398,4,1,0
25,art_painting-cartoon,0.15,0.0419558407156471,0.03145905668782124,-0.0038854746125094,0.080623570777319,4,1,0
25,art_painting-sketch,0.0,0.0124505927111672,0.008516436089499759,0.0,0.0234843625285626,4,0,1
25,art_painting-sketch,0.02,0.014616115574719982,0.009703906304365635,-0.0025096256519554,0.0214697889185371,4,1,0
25,art_painting-sketch,0.05,0.01631471889955002,0.015295196409247864,-0.0033588094068781,0.0371491226394035,4,1,0
25,art_painting-sketch,0.1,0.029091356260604384,0.020915190777476427,0.006276056649438,0.0497162654185955,5,0,0
25,art_painting-sketch,0.15,0.05143611306080877,0.025246310148427015,0.0165475751899997,0.0722647679036365,5,0,0
25,cartoon-sketch,0.0,0.007305075639271701,0.004759002313736915,0.0,0.0132946376794123,4,0,1
25,cartoon-sketch,0.02,0.00976013484468359,0.005993725187347685,1.4499002841450448e-05,0.0145868762183319,5,0,0
25,cartoon-sketch,0.05,0.016812781424903143,0.009170109669386207,0.0047682697138027,0.0244948764185506,5,0,0
25,cartoon-sketch,0.1,0.0367920146485103,0.025848974809139894,0.0104743452474644,0.0668995767892263,5,0,0
25,cartoon-sketch,0.15,0.05659676228543341,0.04481927841003089,0.0136589952001524,0.1153473601217929,5,0,0
25,photo-art_painting,0.0,0.01075801952953066,0.009032120877581836,0.0,0.0247222808099946,4,0,1
25,photo-art_painting,0.02,0.0122427882486627,0.011167461003141954,-0.0042780493729455,0.026466597974151,4,1,0
25,photo-art_painting,0.05,0.0053420554403657,0.015020441735011601,-0.0126485688488505,0.0268920101925758,3,2,0
25,photo-art_painting,0.1,0.0037842245384556604,0.016200327100581922,-0.0089352345316808,0.0308993079460568,3,2,0
25,photo-art_painting,0.15,0.00822546124893438,0.015678615253381285,-0.0021950100768659,0.0348878797025712,3,2,0
25,photo-cartoon,0.0,0.008131066894067802,0.0054585418573058425,0.0,0.0137027138330573,4,0,1
25,photo-cartoon,0.02,0.01180640830479744,0.007725828261448733,0.0009417614548822,0.0196712723183559,5,0,0
25,photo-cartoon,0.05,0.016336222242351758,0.011583058586498239,0.0019467606508589,0.030024189463128,5,0,0
25,photo-cartoon,0.1,0.034979952974170565,0.015803116532056356,0.0190938102799425,0.0550408903441692,5,0,0
25,photo-cartoon,0.15,0.052898757512021576,0.027629601646608867,0.026640597383867,0.0898130182448142,5,0,0
25,photo-sketch,0.0,0.012557744191911139,0.010646673424067337,0.0,0.0265047823197427,4,0,1
25,photo-sketch,0.02,0.01839535092537026,0.015008548882553778,-0.0017539247181486,0.0346575133005444,4,1,0
25,photo-sketch,0.05,0.025249694863945477,0.021305569415002727,-0.0036423550335052,0.0422032275483384,4,1,0
25,photo-sketch,0.1,0.0498973018006173,0.025581247898039044,0.0211474225971118,0.0858168541067884,5,0,0
25,photo-sketch,0.15,0.07485083698713879,0.030680492969465633,0.045746196222999,0.1255046364164195,5,0,0
50,art_painting-cartoon,0.0,0.01253481774889286,0.008703156469088313,0.0,0.0212262430503329,4,0,1
50,art_painting-cartoon,0.02,0.01753771754946119,0.01238254285783845,1.4499002841450448e-05,0.0304070702222554,5,0,0
50,art_painting-cartoon,0.05,0.02869254594904542,0.01714002220030844,0.0033675416122125,0.0467238641299866,5,0,0
50,art_painting-cartoon,0.1,0.05602652868975698,0.01450168276841651,0.0323323866948096,0.0717238641299866,5,0,0
50,art_painting-cartoon,0.15,0.0792729766801972,0.018634168580193518,0.0544032209214916,0.0970000075448555,5,0,0
50,art_painting-sketch,0.0,0.0125609295495755,0.009480497595176073,0.0,0.0265047823197427,4,0,1
50,art_painting-sketch,0.02,0.01925077588204279,0.013033709457170368,1.4499002841450448e-05,0.0365047823197426,5,0,0
50,art_painting-sketch,0.05,0.037103276101405604,0.020472110854512168,0.0054342302253641,0.0601810829881281,5,0,0
50,art_painting-sketch,0.1,0.08002571868943308,0.020672182855833214,0.0590963490022108,0.1046706253993986,5,0,0
50,art_painting-sketch,0.15,0.12644763141276966,0.022968877136736246,0.1017701833581108,0.1542804277347934,5,0,0
50,cartoon-sketch,0.0,0.01425725840822166,0.009598209467096715,0.0,0.0241682257585754,4,0,1
50,cartoon-sketch,0.02,0.022221736149068687,0.01629183109059971,1.4499002841450448e-05,0.0362008940618552,5,0,0
50,cartoon-sketch,0.05,0.04024403002598524,0.024061333789651158,0.0103932070688576,0.0608014099730199,5,0,0
50,cartoon-sketch,0.1,0.08366610716319146,0.024195139152469708,0.0566011240373336,0.1136464296631262,5,0,0
50,cartoon-sketch,0.15,0.1115215351685142,0.019761532523658355,0.0911719582640159,0.1427651659228076,5,0,0
50,photo-art_painting,0.0,0.013747398359248,0.009753937219744435,0.0,0.0262698378908526,4,0,1
50,photo-art_painting,0.02,0.01808202598489158,0.010516157083631216,0.0014574287887714,0.0304632683397538,5,0,0
50,photo-art_painting,0.05,0.025485417320082842,0.014737357786492907,0.0023234419723544,0.040900705167805,5,0,0
50,photo-art_painting,0.1,0.04113096030812614,0.021982685862329675,0.0118723899381246,0.0685736327326919,5,0,0
50,photo-art_painting,0.15,0.05484791301028784,0.02474806634103136,0.0197283667967756,0.0856976476955565,5,0,0
50,photo-cartoon,0.0,0.013122751509657618,0.008166158197880597,0.0006304245836264,0.0221178782456986,5,0,0
50,photo-cartoon,0.02,0.020523476014368942,0.012384686051509636,0.0049760776276173,0.03179040624083,5,0,0
50,photo-cartoon,0.05,0.03587547437127414,0.019605219770771735,0.0124851781407471,0.0576827687952051,5,0,0
50,photo-cartoon,0.1,0.07562645511174275,0.01988176461076015,0.055863264847651,0.1031513351715933,5,0,0
50,photo-cartoon,0.15,0.10295717213409541,0.021701358047982178,0.0855587481439631,0.1406513351715933,5,0,0
50,photo-sketch,0.0,0.01736404131593358,0.012428567788244863,0.0,0.0309684075419731,4,0,1
50,photo-sketch,0.02,0.025309459267312262,0.01773190904137646,-0.0006543469560092,0.0419906864325185,4,1,0
50,photo-sketch,0.05,0.0432370789348904,0.023618129531503867,0.0070309428926783,0.064141605469965,5,0,0
50,photo-sketch,0.1,0.09372086906986418,0.03027391764607108,0.0439761511188808,0.1233461706818316,5,0,0
50,photo-sketch,0.15,0.13981860076681774,0.03387129651099065,0.0836748122501002,0.1713817453084074,5,0,0
100,art_painting-cartoon,0.0,0.01239893440564792,0.009257398152078685,0.0,0.025960296093432,4,0,1
100,art_painting-cartoon,0.02,0.01752754177918625,0.01276847011276752,1.4499002841450448e-05,0.0330037842875595,5,0,0
100,art_painting-cartoon,0.05,0.02848562157671546,0.013676991022046944,0.0119300938767649,0.0420626174648998,5,0,0
100,art_painting-cartoon,0.1,0.06382922644495771,0.022533274378957396,0.0358442400735132,0.0918367342117471,5,0,0
100,art_painting-cartoon,0.15,0.09645251117239365,0.02935297633422424,0.0665277607837214,0.1320461068942118,5,0,0
100,art_painting-sketch,0.0,0.012344627549848119,0.009565327121156849,0.0,0.0265047823197427,4,0,1
100,art_painting-sketch,0.02,0.01804118995933833,0.012595534039464005,1.4499002841450448e-05,0.0356135281740092,5,0,0
100,art_painting-sketch,0.05,0.03161045510570822,0.013863988385495999,0.0119300938767649,0.0509950282018403,5,0,0
100,art_painting-sketch,0.1,0.07948084090878352,0.01551412768704836,0.0636419802437864,0.1047497778919983,5,0,0
100,art_painting-sketch,0.15,0.13876139515152958,0.01714263223408907,0.1253791858602945,0.1665465024336965,5,0,0
100,cartoon-sketch,0.0,0.014765770940032123,0.010523780380966808,0.0,0.0286246329475171,4,0,1
100,cartoon-sketch,0.02,0.02209967023819907,0.015839836345451146,1.4499002841450448e-05,0.038624632947517,5,0,0
100,cartoon-sketch,0.05,0.039314568356031455,0.020164100447763896,0.0119300938767649,0.0561962208460555,5,0,0
100,cartoon-sketch,0.1,0.08636399185514385,0.02548896974972993,0.0517816032374508,0.1093044022515609,5,0,0
100,cartoon-sketch,0.15,0.13440127914881747,0.02683296294745376,0.1017816032374508,0.1598734563240959,5,0,0
100,photo-art_painting,0.0,0.0132677933973464,0.00925745832975931,0.0,0.0261311289622724,4,0,1
100,photo-art_painting,0.02,0.0185873460762133,0.014750577442943351,-0.002009310520968,0.0396347489246562,4,1,0
100,photo-art_painting,0.05,0.02968913884379392,0.017813470469439926,0.0070039855023807,0.0545326305247547,5,0,0
100,photo-art_painting,0.1,0.05294599466504855,0.02520790811560874,0.0247292520950938,0.0779402654044236,5,0,0
100,photo-art_painting,0.15,0.07297725304935142,0.030011292522182546,0.0298406151938125,0.0996373611552382,5,0,0
100,photo-cartoon,0.0,0.015606998414513762,0.010458777267371043,0.0,0.0269394036039124,4,0,1
100,photo-cartoon,0.02,0.023710181896539798,0.01590381570282904,0.0018871017386313,0.0370553473367342,5,0,0
100,photo-cartoon,0.05,0.04430596076026436,0.019589264405849988,0.0208634519491722,0.0616433168075402,5,0,0
100,photo-cartoon,0.1,0.09653146320717151,0.01831561402543442,0.0777548697375654,0.119669030418419,5,0,0
100,photo-cartoon,0.15,0.13857111727085103,0.025727474432854433,0.1055723819107412,0.1653706544198863,5,0,0
100,photo-sketch,0.0,0.0146986366249701,0.009094934098438378,0.0,0.0220282983779711,4,0,1
100,photo-sketch,0.02,0.022429827329836498,0.015127361393328466,-0.002009310520968,0.0340239149812784,4,1,0
100,photo-sketch,0.05,0.044520591300877,0.018123492948846152,0.0163288907060978,0.0586118844520845,5,0,0
100,photo-sketch,0.1,0.0988224558120158,0.018294352930008452,0.0696974371330624,0.1175761199934599,5,0,0
100,photo-sketch,0.15,0.1645374190208653,0.016402294014824792,0.1370798341867668,0.1800395656853511,5,0,0
