seed,N,pair,c,routing_F0,routing_Fi,routing_Fj,routing_Fij,F0_to_Fi,F0_to_Fj,F0_to_Fij,Fij_pattern_new,total_routing_changes,gamma_oper
0,25,photo-art_painting,0.0,"D,F,F,D","D,F,D,D","D,F,D,D","D,F,D,D",1,1,1,False,3,0.0086458221437715
0,25,photo-art_painting,0.02,"D,F,F,D","D,F,D,D","D,F,D,D","D,F,D,D",1,1,1,False,3,0.0136458221437715
0,25,photo-art_painting,0.05,"D,F,F,F","D,F,D,D","D,F,F,D","F,F,D,D",2,1,3,True,6,0.0268920101925758
0,25,photo-art_painting,0.1,"F,F,F,F","F,F,F,D","F,F,F,F","F,F,F,D",1,0,1,False,2,0.0308993079460568
0,25,photo-art_painting,0.15,"F,F,F,F","F,F,F,D","F,F,F,F","F,F,F,F",1,0,0,False,1,0.0348878797025712
0,25,photo-cartoon,0.0,"D,F,F,D","D,F,D,D","D,F,D,D","D,F,D,D",1,1,1,False,3,0.006432889314185
0,25,photo-cartoon,0.02,"D,F,F,D","D,F,D,D","D,F,F,D","D,F,D,D",1,0,1,False,2,0.0085348805870435
0,25,photo-cartoon,0.05,"D,F,F,F","D,F,D,D","D,F,F,D","D,F,F,D",2,1,1,False,4,0.0145049029718807
0,25,photo-cartoon,0.1,"F,F,F,F","F,F,F,D","F,F,F,D","F,F,F,F",1,1,0,True,2,0.0486042906913352
0,25,photo-cartoon,0.15,"F,F,F,F","F,F,F,D","F,F,F,D","F,F,F,F",1,1,0,True,2,0.0736042906913351
0,25,photo-sketch,0.0,"D,F,F,D","D,F,D,D","D,D,D,D","D,F,F,D",1,2,0,True,3,0.0086949933586695
0,25,photo-sketch,0.02,"D,F,F,D","D,F,D,D","D,D,F,D","D,F,F,D",1,1,0,True,2,0.0198212066011332
0,25,photo-sketch,0.05,"D,F,F,F","D,F,D,D","D,D,F,D","D,F,F,D",2,2,1,True,5,0.0384455393382175
0,25,photo-sketch,0.1,"F,F,F,F","F,F,F,D","D,D,F,D","F,F,F,F",1,3,0,True,4,0.0858168541067884
0,25,photo-sketch,0.15,"F,F,F,F","F,F,F,D","D,F,F,F","F,F,F,F",1,1,0,True,2,0.1255046364164195
0,25,art_painting-cartoon,0.0,"D,F,F,D","D,F,D,D","D,F,D,D","D,F,D,D",1,1,1,False,3,0.0070082661001442
0,25,art_painting-cartoon,0.02,"D,F,F,D","D,F,D,D","D,F,F,D","D,F,D,D",1,0,1,False,2,0.0091102573730027
0,25,art_painting-cartoon,0.05,"D,F,F,F","D,F,F,D","D,F,F,D","F,F,F,F",1,1,1,True,3,0.0151347290534553
0,25,art_painting-cartoon,0.1,"F,F,F,F","F,F,F,F","F,F,F,D","F,F,F,F",0,1,0,False,1,0.0365756666849104
0,25,art_painting-cartoon,0.15,"F,F,F,F","F,F,F,F","F,F,F,D","F,F,F,F",0,1,0,False,1,0.0490756666849103
0,25,art_painting-sketch,0.0,"D,F,F,D","D,F,D,D","D,D,D,D","D,F,F,D",1,2,0,True,3,0.0103435756760733
0,25,art_painting-sketch,0.02,"D,F,F,D","D,F,D,D","D,D,F,D","D,F,F,D",1,1,0,True,2,0.0214697889185371
0,25,art_painting-sketch,0.05,"D,F,F,F","D,F,F,D","D,D,F,D","D,F,F,D",1,2,1,False,4,0.0371491226394035
0,25,art_painting-sketch,0.1,"F,F,F,F","F,F,F,F","D,D,F,D","D,F,F,D",0,3,2,True,5,0.0497162654185955
0,25,art_painting-sketch,0.15,"F,F,F,F","F,F,F,F","D,F,F,F","F,F,F,F",0,1,0,False,1,0.0660052506665749
0,25,cartoon-sketch,0.0,"D,F,F,D","D,F,D,D","D,D,D,D","D,D,D,D",1,2,2,False,5,0.0132946376794123
0,25,cartoon-sketch,0.02,"D,F,F,D","D,F,F,D","D,D,F,D","D,D,F,D",0,1,1,False,2,0.0145868762183319
0,25,cartoon-sketch,0.05,"D,F,F,F","D,F,F,D","D,D,F,D","D,D,F,F",1,2,1,True,4,0.0228280176629049
0,25,cartoon-sketch,0.1,"F,F,F,F","F,F,F,D","D,D,F,D","D,F,F,F",1,3,1,True,5,0.0609656265000849
0,25,cartoon-sketch,0.15,"F,F,F,F","F,F,F,D","D,F,F,F","F,F,F,F",1,1,0,True,2,0.0931198324079528
