seed,N,pair,domain_i,domain_j,c,gamma_learn,gamma_oper,R0,Ri,Rj,Rij,d_i,transition_i_photo,transition_i_art_painting,transition_i_cartoon,transition_i_sketch,d_j,transition_j_photo,transition_j_art_painting,transition_j_cartoon,transition_j_sketch,d_ij,transition_ij_photo,transition_ij_art_painting,transition_ij_cartoon,transition_ij_sketch,gamma_route_photo,gamma_route_art_painting,gamma_route_cartoon,gamma_route_sketch,route_interaction_count,route_interaction_l1,routing_config_count,Fij_pattern_new,delta_gamma,sign_change,delta_class,Vlearn_F0,Voper_F0,Vlearn_Fi,Voper_Fi,Vlearn_Fj,Voper_Fj,Vlearn_Fij,Voper_Fij,case,score
3,100,photo-sketch,photo,sketch,0.0,0.4702276214489974,0.0217777759069176,"D,D,F,F","F,D,D,D","D,D,D,D","D,D,F,D",3,D→F,D→D,F→D,F→D,2,D→D,D→D,F→D,F→D,1,D→D,D→D,F→F,F→D,1,0,-2,-1,3,4,4,True,-0.4484498455420798,False,ABSORB,0.817369289745614,0.8416302193526375,0.7443712287712574,0.8227055609128756,0.3786377606054206,0.8151254370328948,0.7758673210800615,0.8179785545000505,maximum_absorption,
3,25,cartoon-sketch,cartoon,sketch,0.1,-0.0053274550222267,0.0298192091179698,"F,F,F,F","F,D,F,F","D,D,F,F","D,D,F,D",1,F→F,F→D,F→F,F→F,2,F→D,F→D,F→F,F→F,3,F→D,F→D,F→F,F→D,0,-1,0,1,2,2,4,True,0.0351466641401965,True,AMPLIFY,0.817369289745614,0.817369289745614,0.7577162514990331,0.7665639081317307,0.665793228001156,0.7378455723094633,0.6008127347323484,0.71685939981355,maximum_amplification,
3,100,photo-sketch,photo,sketch,0.0,0.4702276214489974,0.0217777759069176,"D,D,F,F","F,D,D,D","D,D,D,D","D,D,F,D",3,D→F,D→D,F→D,F→D,2,D→D,D→D,F→D,F→D,1,D→D,D→D,F→F,F→D,1,0,-2,-1,3,4,4,True,-0.4484498455420798,False,ABSORB,0.817369289745614,0.8416302193526375,0.7443712287712574,0.8227055609128756,0.3786377606054206,0.8151254370328948,0.7758673210800615,0.8179785545000505,large_learning_small_operational,0.4484498455420798
2,25,cartoon-sketch,cartoon,sketch,0.15,0.0346907579466013,0.0346907579466013,"F,F,F,F","F,F,F,F","F,F,F,F","F,F,F,F",0,F→F,F→F,F→F,F→F,0,F→F,F→F,F→F,F→F,0,F→F,F→F,F→F,F→F,0,0,0,0,0,0,1,False,0.0,False,PRESERVE,0.7750601093420804,0.7750601093420804,0.7604119342999218,0.7604119342999218,0.7190121760263495,0.7190121760263495,0.7390547589307923,0.7390547589307923,preserve,
4,100,photo-sketch,photo,sketch,0.02,0.3901015272728657,-0.002009310520968,"D,D,F,D","F,D,D,D","D,D,D,D","D,D,D,D",2,D→F,D→D,F→D,D→D,1,D→D,D→D,F→D,D→D,1,D→D,D→D,F→D,D→D,1,0,-1,0,2,2,3,False,-0.39211083779383366,True,ABSORB,0.769788268602489,0.7946665981949038,0.684280878055421,0.7966759087158719,0.4435701107921713,0.7946520991920624,0.7481642475179691,0.7946520991920624,sign_change,
0,100,photo-sketch,photo,sketch,0.0,0.4432242531574253,0.0171824889707536,"D,F,F,D","D,D,D,D","D,D,D,D","D,F,D,D",2,D→D,F→D,F→D,D→D,2,D→D,F→D,F→D,D→D,1,D→D,F→F,F→D,D→D,0,-2,-1,0,2,3,3,True,-0.4260417641866717,False,ABSORB,0.818672464573932,0.8415327641275345,0.6802825918047213,0.825797612405375,0.4428912783269765,0.825797612405375,0.7477256587151911,0.8272449496539691,cost_evolution,
4,100,photo-sketch,photo,sketch,0.0,0.3901015272728657,0.0,"D,D,D,D","D,D,D,D","D,D,D,D","D,D,D,D",0,D→D,D→D,D→D,D→D,0,D→D,D→D,D→D,D→D,0,D→D,D→D,D→D,D→D,0,0,0,0,0,0,1,False,-0.3901015272728657,False,ABSORB,0.769788268602489,0.8146520991920625,0.684280878055421,0.8146520991920625,0.4435701107921713,0.8146520991920625,0.7481642475179691,0.8146520991920625,cost_evolution,
1,100,photo-sketch,photo,sketch,0.0,0.4347904434181256,0.0125046198692082,"D,D,F,D","D,D,D,D","D,D,D,D","D,D,D,D",1,D→D,D→D,F→D,D→D,1,D→D,D→D,F→D,D→D,1,D→D,D→D,F→D,D→D,0,0,-1,0,1,1,2,False,-0.4222858235489174,False,ABSORB,0.7789813096653946,0.8188822188869986,0.6489297503333561,0.8063775990177904,0.4400232558864266,0.8063775990177904,0.7447621399725137,0.8063775990177904,cost_evolution,
3,100,photo-sketch,photo,sketch,0.0,0.4702276214489974,0.0217777759069176,"D,D,F,F","F,D,D,D","D,D,D,D","D,D,F,D",3,D→F,D→D,F→D,F→D,2,D→D,D→D,F→D,F→D,1,D→D,D→D,F→F,F→D,1,0,-2,-1,3,4,4,True,-0.4484498455420798,False,ABSORB,0.817369289745614,0.8416302193526375,0.7443712287712574,0.8227055609128756,0.3786377606054206,0.8151254370328948,0.7758673210800615,0.8179785545000505,cost_evolution,
2,100,photo-sketch,photo,sketch,0.0,0.4087040729956916,0.0220282983779711,"D,F,F,D","D,F,D,D","D,D,D,D","D,F,D,D",1,D→D,F→F,F→D,D→D,2,D→D,F→D,F→D,D→D,1,D→D,F→F,F→D,D→D,0,-1,-1,0,2,2,3,False,-0.3866757746177205,False,ABSORB,0.7750601093420804,0.8143105174795101,0.7145914122188772,0.8007553625718025,0.4276027537294575,0.7968275913965692,0.775838129601946,0.8053007348668327,cost_evolution,
