dimension,N,count,mean,std,median,min,max,c,pair,route_interaction_count,route_interaction_l1
N,25.0,150,-0.035516834674345195,0.04349463693007762,-0.02612037072917415,-0.1714735569034989,0.0351466641401965,,,,
N,50.0,150,-0.12286348550016961,0.07481623551946524,-0.11821552172468289,-0.2935206939704723,0.005263698210851396,,,,
N,100.0,150,-0.2143557436586632,0.13321829746461292,-0.21740092964430685,-0.4484498455420798,-0.0038417773772554953,,,,
c,,90,-0.1539038614940161,0.12678268304148202,-0.1248551909512331,-0.4484498455420798,0.026917290886860498,0.0,,,
c,,90,-0.14865104121099207,0.12493591187000631,-0.12088087821590315,-0.436203706467719,0.0286616080510169,0.02,,,
c,,90,-0.13772170770133152,0.11900909418125111,-0.10660236684297754,-0.4151250484162178,0.0281960438572628,0.05,,,
c,,90,-0.1059920151229886,0.10492453493344975,-0.07221189424212769,-0.3613702987260598,0.0351466641401965,0.1,,,
c,,90,-0.07495814752596842,0.08878425450957582,-0.041694194704410006,-0.2995735741843616,0.031494320772894296,0.15,,,
pair,,75,-0.06391610725992011,0.04610716367384016,-0.0547569103065305,-0.1524916599998833,0.0088801662752178,,art_painting-cartoon,,
pair,,75,-0.18407140910356867,0.13080268300885142,-0.18755679239717749,-0.4396152942983154,0.005943104648210698,,art_painting-sketch,,
pair,,75,-0.1634462725215922,0.12468013225287118,-0.1627583449983756,-0.3973381486408614,0.0351466641401965,,cartoon-sketch,,
pair,,75,-0.03392920789681116,0.039873458465602106,-0.030015541086510403,-0.1290187583294743,0.0286616080510169,,photo-art_painting,,
pair,,75,-0.09188752634236026,0.05739661159962072,-0.08232254422064492,-0.2218330054463798,0.0,,photo-cartoon,,
pair,,75,-0.2082216045421037,0.13498517544794247,-0.195106679706617,-0.4484498455420798,-0.005561829848736002,,photo-sketch,,
Nxc,25.0,30,-0.04862759899692517,0.050672087449898325,-0.04827573527428475,-0.1714735569034989,0.026917290886860498,0.0,,,
Nxc,25.0,30,-0.04597763646494826,0.04852314073676863,-0.04542985784779815,-0.166473556903499,0.0286616080510169,0.02,,,
Nxc,25.0,30,-0.04373017102256916,0.04402324362150143,-0.03937470153477375,-0.1551635461531325,0.0281960438572628,0.05,,,
Nxc,25.0,30,-0.028475502167400763,0.03492236139339682,-0.0201125660994903,-0.1127588457824568,0.0351466641401965,0.1,,,
Nxc,25.0,30,-0.010773264719882613,0.024384984648568878,-0.005702580709212653,-0.07184140400476309,0.031494320772894296,0.15,,,
Nxc,50.0,30,-0.15767270863978658,0.07704474846582324,-0.15620801171159185,-0.2935206939704723,-0.0322202037181197,0.0,,,
Nxc,50.0,30,-0.15111637631385053,0.07595199531419852,-0.14920807156668475,-0.2878177275163865,-0.0307627749293483,0.02,,,
Nxc,50.0,30,-0.13649760433792751,0.07251553006193555,-0.13014718459682956,-0.27292221359923613,-0.0206515031794346,0.05,,,
Nxc,50.0,30,-0.09990446828302234,0.06044954086197612,-0.0847684670996037,-0.2158126270432743,0.0006396832479866957,0.1,,,
Nxc,50.0,30,-0.0691262699262611,0.0483538142275664,-0.06500015442409174,-0.16143998862184852,0.005263698210851396,0.15,,,
Nxc,100.0,30,-0.25541127684533654,0.13670228759485797,-0.2565292973900842,-0.4484498455420798,-0.019692435946968997,0.0,,,
Nxc,100.0,30,-0.24885911085417745,0.13594366072303304,-0.25475824777677186,-0.436203706467719,-0.015709302340046798,0.02,,,
Nxc,100.0,30,-0.2329373477434979,0.13323093521709606,-0.2396150672963181,-0.4151250484162178,-0.013158827134098296,0.05,,,
Nxc,100.0,30,-0.1895960749185428,0.12420950446096285,-0.18490442058245382,-0.3613702987260598,-0.008953140475974196,0.1,,,
Nxc,100.0,30,-0.14497490793176157,0.10904360961292477,-0.13214598496810834,-0.2995735741843616,-0.0038417773772554953,0.15,,,
pairxc,,15,-0.08663567623850003,0.0478343227023356,-0.0883020108052699,-0.1524916599998833,0.0088801662752178,0.0,art_painting-cartoon,,
pairxc,,15,-0.08316468176060583,0.04641234925778506,-0.0833020108052699,-0.14772712355080975,-0.0021479669153633,0.02,art_painting-cartoon,,
pairxc,,15,-0.07571033980110382,0.044428879937326374,-0.0758330629877043,-0.13638933862841549,-0.012942204150487299,0.05,art_painting-cartoon,,
pairxc,,15,-0.04913826533819648,0.03650215159767275,-0.0500282463107473,-0.111897382480138,0.0008543014896003,0.1,art_painting-cartoon,,
pairxc,,15,-0.024931573161194355,0.022951863615011718,-0.024713296295954895,-0.0636567212295641,0.005263698210851396,0.15,art_painting-cartoon,,
pairxc,,15,-0.21692174162119074,0.14210483912788954,-0.2358348458299398,-0.4396152942983154,-0.010604470541789,0.0,art_painting-sketch,,
pairxc,,15,-0.21207109775268726,0.1403945749218454,-0.2238824521789316,-0.4305065484440489,-0.013114096193744401,0.02,art_painting-sketch,,
pairxc,,15,-0.20103097485583307,0.13550413983140983,-0.2072150963098283,-0.4151250484162178,-0.0139632799486671,0.05,art_painting-sketch,,
pairxc,,15,-0.16650781960511402,0.12074873277938838,-0.15355297753298158,-0.3613702987260598,-0.004328413892351,0.1,art_painting-sketch,,
pairxc,,15,-0.12382541168301833,0.10519179403274338,-0.1035529775329816,-0.2995735741843616,0.005943104648210698,0.15,art_painting-sketch,,
pairxc,,15,-0.19774508527881754,0.1351571095439612,-0.176004638383863,-0.3973381486408614,0.0133425664761152,0.0,cartoon-sketch,,
pairxc,,15,-0.19182727319734225,0.13303370978974421,-0.17491916319633521,-0.3873381486408615,0.0183425664761152,0.02,cartoon-sketch,,
pairxc,,15,-0.1777306603390194,0.12890096987535296,-0.1672184091464098,-0.369766560742323,0.0281960438572628,0.05,cartoon-sketch,,
pairxc,,15,-0.1409137490523775,0.11557158808947267,-0.12349457303393681,-0.3166583793368176,0.0351466641401965,0.1,cartoon-sketch,,
pairxc,,15,-0.10901459474040436,0.10084141875863172,-0.08602778774020081,-0.2684749363694878,0.031494320772894296,0.15,cartoon-sketch,,
pairxc,,15,-0.04674572346945875,0.051439548249327824,-0.0428255534203428,-0.1290187583294743,0.026917290886860498,0.0,photo-art_painting,,
pairxc,,15,-0.043032740461577915,0.04904192147072792,-0.04126269203707131,-0.1240187583294744,0.0286616080510169,0.02,photo-art_painting,,
pairxc,,15,-0.03916459003008628,0.03901265351862081,-0.037968883574747,-0.11213228278174599,0.0143440791392849,0.05,photo-art_painting,,
pairxc,,15,-0.026716400727623664,0.026258841593291376,-0.026404139662241408,-0.0810139140427596,0.01724402472693,0.1,photo-art_painting,,
pairxc,,15,-0.013986584795309228,0.01910638042443453,-0.013904139662241306,-0.05393256998254799,0.0236707459280226,0.15,photo-art_painting,,
pairxc,,15,-0.12566615131080644,0.05969299642754504,-0.1387716857596279,-0.2218330054463798,-0.0186254859299785,0.0,photo-cartoon,,
pairxc,,15,-0.11927306817831741,0.05823639567464988,-0.12620717678388788,-0.2199459037077485,-0.015472754949176699,0.02,photo-cartoon,,
pairxc,,15,-0.10578053779225607,0.052102992513860864,-0.119219058274674,-0.2009695534972076,-0.0172747950946862,0.05,photo-cartoon,,
pairxc,,15,-0.06890713315252454,0.03748215740571627,-0.07264202111581018,-0.1353373400975084,-0.0075467871039245,0.1,photo-cartoon,,
pairxc,,15,-0.03981074127789681,0.02518687315591109,-0.04268690130452611,-0.07522901930573629,0.0,0.15,photo-cartoon,,
pairxc,,15,-0.24970879104532312,0.14515869681567106,-0.2778436482155719,-0.4484498455420798,-0.051308026071735,0.0,photo-sketch,,
pairxc,,15,-0.24253738591542173,0.14368961318499618,-0.2678436482155719,-0.436203706467719,-0.0530619507898836,0.02,photo-sketch,,
pairxc,,15,-0.2269131433896904,0.13673525840038867,-0.2429717561693791,-0.4116157369969129,-0.04853431836016,0.05,photo-sketch,,
pairxc,,15,-0.18376872286209564,0.12345416795455234,-0.184697054629324,-0.3526515014555375,-0.0291627069572174,0.1,photo-sketch,,
pairxc,,15,-0.1381799794979875,0.10620136855684204,-0.12219705462932398,-0.29018805576364626,-0.005561829848736002,0.15,photo-sketch,,
route_interaction_count,,57,-0.07860477704644614,0.09849334713943228,-0.043141453203976,-0.3901015272728657,0.027646195497292102,,,0.0,
route_interaction_count,,120,-0.09226395836116004,0.10950223754101708,-0.05369400603792509,-0.4222858235489174,0.031494320772894296,,,1.0,
route_interaction_count,,126,-0.12222443797921569,0.12255413470873917,-0.07206798433375625,-0.4396152942983154,0.0351466641401965,,,2.0,
route_interaction_count,,91,-0.15155948258229188,0.11118774019745647,-0.1308470585897753,-0.4484498455420798,0.0281960438572628,,,3.0,
route_interaction_count,,56,-0.19939411035036306,0.1020727854544823,-0.217518732355193,-0.4116157369969129,-0.0206515031794346,,,4.0,
route_interaction_l1,,57,-0.07860477704644614,0.09849334713943228,-0.043141453203976,-0.3901015272728657,0.027646195497292102,,,,0.0
route_interaction_l1,,108,-0.08877266512539832,0.10961097005163895,-0.04976729914028875,-0.4222858235489174,0.031494320772894296,,,,1.0
route_interaction_l1,,100,-0.10487705729286817,0.11339783040293896,-0.0606541428881038,-0.4396152942983154,0.0351466641401965,,,,2.0
route_interaction_l1,,97,-0.14002293940332267,0.10757851925670771,-0.12349457303393681,-0.436203706467719,0.0281960438572628,,,,3.0
