domain,N,c,B,n_seeds,n_integration_changes,n_current_fast,n_noncompensating,mean_rho,std_rho,mean_DeltaV,std_DeltaV,mean_H,std_H,mean_DeltaV_local,mean_DeltaV_cross
art_painting,25,0.0,1,5,0,2,2,-0.004564307855708649,0.04552405091196551,-0.006936318419069898,0.0053637598558159945,-0.0023720105633612486,0.04413899341691776,0.0007484264306466925,-0.007684744849716624
art_painting,25,0.0,2,5,0,2,2,-0.004564307855708649,0.04552405091196551,-0.006936318419069898,0.0053637598558159945,-0.009308328982431146,0.04337743777430747,0.0007484264306466925,-0.007684744849716624
art_painting,25,0.0,5,5,0,2,2,-0.004564307855708649,0.04552405091196551,-0.006936318419069898,0.0053637598558159945,-0.03011728423964084,0.04502105340137986,0.0007484264306466925,-0.007684744849716624
art_painting,25,0.0,10,5,0,2,2,-0.004564307855708649,0.04552405091196551,-0.006936318419069898,0.0053637598558159945,-0.06479887633499033,0.058479460298875255,0.0007484264306466925,-0.007684744849716624
art_painting,25,0.02,1,5,0,2,2,0.015435692144291368,0.04552405091196551,-0.00835240248810063,0.006300237287388511,-0.023788094632392,0.043400405531794084,0.0012354460607544248,-0.009587848548855072
art_painting,25,0.02,2,5,0,2,2,0.015435692144291368,0.04552405091196551,-0.00835240248810063,0.006300237287388511,-0.03214049712049263,0.04212050770073811,0.0012354460607544248,-0.009587848548855072
art_painting,25,0.02,5,5,0,2,2,0.015435692144291368,0.04552405091196551,-0.00835240248810063,0.006300237287388511,-0.05719770458479452,0.043841520884066176,0.0012354460607544248,-0.009587848548855072
art_painting,25,0.02,10,5,0,2,2,0.015435692144291368,0.04552405091196551,-0.00835240248810063,0.006300237287388511,-0.09895971702529767,0.06128921756141793,0.0012354460607544248,-0.009587848548855072
art_painting,25,0.05,1,5,0,5,5,0.0454356921442914,0.04552405091196551,-0.009212945311673914,0.008157335276003869,-0.05464863745596531,0.042329522306688086,0.0025601935481177674,-0.011773138859791648
art_painting,25,0.05,2,5,0,5,5,0.0454356921442914,0.04552405091196551,-0.009212945311673914,0.008157335276003869,-0.06386158276763923,0.0405490066906682,0.0025601935481177674,-0.011773138859791648
art_painting,25,0.05,5,5,0,5,5,0.0454356921442914,0.04552405091196551,-0.009212945311673914,0.008157335276003869,-0.09150041870266097,0.04472167062983951,0.0025601935481177674,-0.011773138859791648
art_painting,25,0.05,10,5,0,5,5,0.0454356921442914,0.04552405091196551,-0.009212945311673914,0.008157335276003869,-0.13756514526103053,0.07248946390110309,0.0025601935481177674,-0.011773138859791648
art_painting,25,0.1,1,5,0,5,5,0.09543569214429133,0.04552405091196551,-0.017525507798588837,0.006309025723171886,-0.11296119994288016,0.04324560871811423,0.0025601935481177674,-0.020085701346706546
art_painting,25,0.1,2,5,0,5,5,0.09543569214429133,0.04552405091196551,-0.017525507798588837,0.006309025723171886,-0.130486707741469,0.04180351356664337,0.0025601935481177674,-0.020085701346706546
art_painting,25,0.1,5,5,0,5,5,0.09543569214429133,0.04552405091196551,-0.017525507798588837,0.006309025723171886,-0.1830632311372355,0.04309562196758698,0.0025601935481177674,-0.020085701346706546
art_painting,25,0.1,10,5,0,5,5,0.09543569214429133,0.04552405091196551,-0.017525507798588837,0.006309025723171886,-0.27069077013017967,0.06026787148135674,0.0025601935481177674,-0.020085701346706546
art_painting,25,0.15,1,5,0,5,5,0.14543569214429136,0.04552405091196551,-0.027067656813769103,0.006508905090952073,-0.17250334895806047,0.041291068924150284,0.0025601935481177674,-0.0296278503618868
art_painting,25,0.15,2,5,0,5,5,0.14543569214429136,0.04552405091196551,-0.027067656813769103,0.006508905090952073,-0.19957100577182957,0.03771203024670873,0.0025601935481177674,-0.0296278503618868
art_painting,25,0.15,5,5,0,5,5,0.14543569214429136,0.04552405091196551,-0.027067656813769103,0.006508905090952073,-0.2807739762131369,0.032898661498823485,0.0025601935481177674,-0.0296278503618868
art_painting,25,0.15,10,5,0,5,5,0.14543569214429136,0.04552405091196551,-0.027067656813769103,0.006508905090952073,-0.4161122602819824,0.04701592197909346,0.0025601935481177674,-0.0296278503618868
art_painting,50,0.0,1,5,0,2,2,-0.004564307855708649,0.04552405091196551,-0.009798716852321698,0.007813428959763823,-0.005234408996613049,0.04821006527702193,-0.0013081678045326784,-0.008490549047789054
art_painting,50,0.0,2,5,0,2,2,-0.004564307855708649,0.04552405091196551,-0.009798716852321698,0.007813428959763823,-0.015033125848934747,0.051943054596478584,-0.0013081678045326784,-0.008490549047789054
art_painting,50,0.0,5,5,0,2,2,-0.004564307855708649,0.04552405091196551,-0.009798716852321698,0.007813428959763823,-0.044429276405899845,0.06747064966723074,-0.0013081678045326784,-0.008490549047789054
art_painting,50,0.0,10,5,0,2,2,-0.004564307855708649,0.04552405091196551,-0.009798716852321698,0.007813428959763823,-0.09342286066750834,0.10042221630229507,-0.0013081678045326784,-0.008490549047789054
art_painting,50,0.02,1,5,0,2,2,0.015435692144291368,0.04552405091196551,-0.014477066757687406,0.008333448357869574,-0.029912758901978774,0.04850450274155375,-0.0013081678045326784,-0.013168898953154729
art_painting,50,0.02,2,5,0,2,2,0.015435692144291368,0.04552405091196551,-0.014477066757687406,0.008333448357869574,-0.044389825659666184,0.05264814416522315,-0.0013081678045326784,-0.013168898953154729
art_painting,50,0.02,5,5,0,2,2,0.015435692144291368,0.04552405091196551,-0.014477066757687406,0.008333448357869574,-0.0878210259327284,0.06973237638250718,-0.0013081678045326784,-0.013168898953154729
art_painting,50,0.02,10,5,0,2,2,0.015435692144291368,0.04552405091196551,-0.014477066757687406,0.008333448357869574,-0.16020635972116543,0.10547553032401409,-0.0013081678045326784,-0.013168898953154729
art_painting,50,0.05,1,5,0,5,5,0.0454356921442914,0.04552405091196551,-0.02345386167922072,0.008945305429203958,-0.06888955382351211,0.04374936023998515,-0.0026064316123874443,-0.02084743006683326
art_painting,50,0.05,2,5,0,5,5,0.0454356921442914,0.04552405091196551,-0.02345386167922072,0.008945305429203958,-0.09234341550273284,0.04376769139244439,-0.0026064316123874443,-0.02084743006683326
art_painting,50,0.05,5,5,0,5,5,0.0454356921442914,0.04552405091196551,-0.02345386167922072,0.008945305429203958,-0.162705000540395,0.05367164564026309,-0.0026064316123874443,-0.02084743006683326
art_painting,50,0.05,10,5,0,5,5,0.0454356921442914,0.04552405091196551,-0.02345386167922072,0.008945305429203958,-0.2799743089364986,0.08769136982120877,-0.0026064316123874443,-0.02084743006683326
art_painting,50,0.1,1,5,0,5,5,0.09543569214429133,0.04552405091196551,-0.0395251018956974,0.013958602392421702,-0.13496079403998873,0.04019570180085232,-0.004241386172659028,-0.03528371572303832
art_painting,50,0.1,2,5,0,5,5,0.09543569214429133,0.04552405091196551,-0.0395251018956974,0.013958602392421702,-0.17448589593568614,0.03935269795821245,-0.004241386172659028,-0.03528371572303832
art_painting,50,0.1,5,5,0,5,5,0.09543569214429133,0.04552405091196551,-0.0395251018956974,0.013958602392421702,-0.2930612016227784,0.060708870732115554,-0.004241386172659028,-0.03528371572303832
art_painting,50,0.1,10,5,0,5,5,0.09543569214429133,0.04552405091196551,-0.0395251018956974,0.013958602392421702,-0.4906867111012653,0.12264103635075922,-0.004241386172659028,-0.03528371572303832
art_painting,50,0.15,1,5,0,5,5,0.14543569214429136,0.04552405091196551,-0.05165353584218244,0.015364254972084088,-0.19708922798647383,0.04109111943819507,-0.004241386172659028,-0.04741214966952337
art_painting,50,0.15,2,5,0,5,5,0.14543569214429136,0.04552405091196551,-0.05165353584218244,0.015364254972084088,-0.24874276382865626,0.0421502270886791,-0.004241386172659028,-0.04741214966952337
art_painting,50,0.15,5,5,0,5,5,0.14543569214429136,0.04552405091196551,-0.05165353584218244,0.015364254972084088,-0.4037033713552036,0.06981296623567404,-0.004241386172659028,-0.04741214966952337
art_painting,50,0.15,10,5,0,5,5,0.14543569214429136,0.04552405091196551,-0.05165353584218244,0.015364254972084088,-0.6619710505661158,0.1395646009565894,-0.004241386172659028,-0.04741214966952337
art_painting,100,0.0,1,5,0,2,2,-0.004564307855708649,0.04552405091196551,-0.012436126502082234,0.008016602216318846,-0.007871818646373586,0.05161241788169572,-0.00394557745429322,-0.008490549047789054
