scope,domain,N,c,metric,n,mean,std,median,min,max,n_positive,n_zero,n_negative,fraction_positive,fraction_zero,fraction_negative
global,ALL,ALL,ALL,DeltaV,300,-0.033396187529782045,0.03053653468163374,-0.02474781749723376,-0.1502133747386224,0.007487941208500937,7,10,283,0.023333333333333334,0.03333333333333333,0.9433333333333334
global,ALL,ALL,ALL,DeltaV_local,300,-0.0026858490846426706,0.007659924445646173,0.0,-0.03114038943308367,0.01347585752877345,73,84,143,0.24333333333333335,0.28,0.4766666666666667
global,ALL,ALL,ALL,DeltaV_cross,300,-0.03071033844513936,0.026911138208597724,-0.022992667034714975,-0.12947349691455962,0.004266405695641046,4,26,270,0.013333333333333334,0.08666666666666667,0.9
domain_N,art_painting,25,ALL,DeltaV,25,-0.013818966166240476,0.009805138798773134,-0.01176744068708302,-0.03596506286088452,0.0,0,1,24,0.0,0.04,0.96
domain_N,art_painting,25,ALL,DeltaV_local,25,0.0019328906271508838,0.0020989423159978615,0.0010614222122470596,-0.0004707810822361935,0.004818891377149637,15,5,5,0.6,0.2,0.2
domain_N,art_painting,25,ALL,DeltaV_cross,25,-0.01575185679339134,0.010144947101368167,-0.012825932258410833,-0.039143584858843145,0.0,0,1,24,0.0,0.04,0.96
domain_N,photo,50,ALL,DeltaV,25,-0.03611180597723643,0.024600615631091872,-0.03299266703471493,-0.09534781135260384,0.0,0,1,24,0.0,0.04,0.96
domain_N,photo,50,ALL,DeltaV_local,25,0.002819504031231349,0.005328817092217732,0.0012843068261787771,-0.005860263398401011,0.013467344668679465,13,9,3,0.52,0.36,0.12
domain_N,photo,50,ALL,DeltaV_cross,25,-0.03893131000846777,0.025123713810155508,-0.03338593720526331,-0.08948754795420275,0.0,0,1,24,0.0,0.04,0.96
domain_N,sketch,50,ALL,DeltaV,25,-0.05485977131331024,0.04412776668993309,-0.033385937205263394,-0.13677643067335343,0.0,0,1,24,0.0,0.04,0.96
domain_N,sketch,50,ALL,DeltaV_local,25,-0.0074736964377362,0.009854217239034646,0.0,-0.03114038943308367,0.0,0,13,12,0.0,0.52,0.48
domain_N,sketch,50,ALL,DeltaV_cross,25,-0.047386074875574044,0.03567372420476925,-0.032992667034714984,-0.1160665533888294,0.0,0,1,24,0.0,0.04,0.96
domain_N,art_painting,50,ALL,DeltaV,25,-0.027781656605421933,0.019039635824885603,-0.02648021850733473,-0.0779796120934999,0.0,0,1,24,0.0,0.04,0.96
domain_N,art_painting,50,ALL,DeltaV_local,25,-0.0027411079133541714,0.003952354653088088,-0.002260960681732732,-0.008481146436542797,0.0019403074138794052,5,6,14,0.2,0.24,0.56
domain_N,art_painting,50,ALL,DeltaV_cross,25,-0.025040548692067743,0.016939333093945852,-0.02085055622195206,-0.07049760939771646,0.0,0,1,24,0.0,0.04,0.96
domain_N,cartoon,25,ALL,DeltaV,25,-0.009452906655130789,0.010105175591582242,-0.008142237564551458,-0.02893331321802084,0.007487941208500937,5,0,20,0.2,0.0,0.8
domain_N,cartoon,25,ALL,DeltaV_local,25,-0.0015876505519141371,0.005159850577305372,-0.0035275709427345647,-0.006245055329528154,0.007487941208500853,10,0,15,0.4,0.0,0.6
domain_N,cartoon,25,ALL,DeltaV_cross,25,-0.007865256103216634,0.00985653289696152,-0.005812923558878552,-0.028804809608084597,0.004266405695641046,4,5,16,0.16,0.2,0.64
domain_N,cartoon,50,ALL,DeltaV,25,-0.028488667388308807,0.023348832230036164,-0.02860026431480156,-0.08514545728892275,0.0026313505098248813,2,0,23,0.08,0.0,0.92
domain_N,cartoon,50,ALL,DeltaV_local,25,-0.004919336539705558,0.00641766272807536,-0.003000533606826311,-0.016329649650599715,0.0026313505098248258,5,0,20,0.2,0.0,0.8
domain_N,cartoon,50,ALL,DeltaV_cross,25,-0.023569330848603222,0.021229430289113026,-0.016596043235309305,-0.07488320637596524,0.0,0,6,19,0.0,0.24,0.76
domain_N,sketch,25,ALL,DeltaV,25,-0.040397987252181126,0.03129372442756144,-0.03177291289976003,-0.11930131238439157,0.0,0,1,24,0.0,0.04,0.96
domain_N,sketch,25,ALL,DeltaV_local,25,-0.003598665909245188,0.005833726847495295,0.0,-0.02073987782406267,0.0,0,13,12,0.0,0.52,0.48
domain_N,sketch,25,ALL,DeltaV_cross,25,-0.03679932134293593,0.0263072115272259,-0.031772912899760086,-0.09856143456032881,0.0,0,1,24,0.0,0.04,0.96
domain_N,cartoon,100,ALL,DeltaV,25,-0.03811794966527717,0.030216161580010184,-0.02783496613058345,-0.09773532617333214,0.0,0,1,24,0.0,0.04,0.96
domain_N,cartoon,100,ALL,DeltaV_local,25,-0.00829461268002686,0.0047304676393595865,-0.009415774147256362,-0.014152685957313532,0.0,0,1,24,0.0,0.04,0.96
domain_N,cartoon,100,ALL,DeltaV_cross,25,-0.029823336985250276,0.02902782098183497,-0.016596043235309305,-0.0883195520260758,0.0,0,6,19,0.0,0.24,0.76
domain_N,art_painting,100,ALL,DeltaV,25,-0.0360915057289364,0.02414324157093569,-0.029440203379860197,-0.0847201892303594,0.0,0,1,24,0.0,0.04,0.96
domain_N,art_painting,100,ALL,DeltaV_local,25,-0.007458876033570877,0.007871430103154825,-0.007348035344332038,-0.02055240268403777,0.0012696319690483904,3,6,16,0.12,0.24,0.64
domain_N,art_painting,100,ALL,DeltaV_cross,25,-0.028632629695365494,0.019969953771696598,-0.021835656999287106,-0.0730903353119007,0.0,0,1,24,0.0,0.04,0.96
domain_N,photo,25,ALL,DeltaV,25,-0.022925032704178304,0.01475256230552826,-0.02204983140003347,-0.04982850078216983,0.0,0,1,24,0.0,0.04,0.96
