kind,seed,N,domain,equal,max_abs_difference,abs_difference_photo,abs_difference_art_painting,abs_difference_cartoon,abs_difference_sketch
base,0,,F0,False,0.021581561107405944,0.0009057262751843709,0.01214158352526662,0.01070719392791497,0.021581561107405944
base,0,,D,False,0.013191334580428205,0.005102040816326592,0.0002964946125086909,0.013191334580428205,0.010076260702833517
base,1,,F0,False,0.0343408776191233,0.0343408776191233,0.01873244255131823,0.009104055045107584,0.0008218382614578745
base,1,,D,False,0.048583399358759105,0.003577292986159941,0.01888505535122076,0.007818805488297165,0.048583399358759105
base,2,,F0,False,0.05379989954282427,0.02448866087035484,0.03518781200399734,0.011042053009628572,0.05379989954282427
base,2,,D,False,0.016341869265045772,0.004973191847496783,0.016341869265045772,0.007849031941483786,0.007430905200333959
base,3,,F0,False,0.1247724683989635,0.025841049557877915,0.03014421269948142,0.007463591773847034,0.1247724683989635
base,3,,D,False,0.013770299950302434,0.009710335747202037,0.013770299950302434,0.012293831927596588,0.002658702196128515
base,4,,F0,False,0.04797984165465041,0.0246645933122972,0.015221409998442792,0.000865546748960333,0.04797984165465041
base,4,,D,False,0.03639150536328417,0.008645282362110818,0.009687259531063863,0.014374548844908297,0.03639150536328417
singleton,0,25,photo,False,0.01702400206393362,0.004243398014254551,0.001417990605511621,0.0001824489260402462,0.01702400206393362
singleton,0,25,art_painting,False,0.04834220122495758,0.009487319832147345,0.018063014679556177,0.01439316029447646,0.04834220122495758
singleton,0,25,cartoon,False,0.06577466286917732,0.006149648093077276,0.009562997757364244,0.0009861134492779033,0.06577466286917732
singleton,0,25,sketch,False,0.0287430577038148,0.0015550157771672124,0.002355212836640419,0.011377075950407156,0.0287430577038148
singleton,0,50,photo,False,0.060639729929550024,0.009311387390205206,0.037171820810020795,0.02795586590615118,0.060639729929550024
singleton,0,50,art_painting,False,0.032837776963501764,0.020279314296476225,0.022621318755310482,0.019132263742038913,0.032837776963501764
singleton,0,50,cartoon,False,0.009324419422941488,0.009324419422941488,0.006719535156298639,0.0011479218317969053,0.005184386112112804
singleton,0,50,sketch,False,0.290544669054976,0.19110551154091587,0.2042696471099568,0.290544669054976,0.1375168923833388
singleton,0,100,photo,False,0.07704730907851726,0.016164765251051594,0.031256713211600395,0.009544076142436797,0.07704730907851726
singleton,0,100,art_painting,False,0.04523323027390669,0.004973191847496672,0.04361650394643346,0.006620428751576313,0.04523323027390669
singleton,0,100,cartoon,False,0.03759398496240596,0.010568978549274077,0.03759398496240596,0.028965797089943845,0.009116604114685845
singleton,0,100,sketch,False,0.08721577180347029,0.02162259996361371,0.022319569356938823,0.0382265817484313,0.08721577180347029
singleton,1,25,photo,False,0.01973848493791297,0.01973848493791297,0.017317339783954222,0.006980975385231791,0.016296860822080872
singleton,1,25,art_painting,False,0.04260976746779499,0.020056298381421533,0.021983225276907215,0.007377957441682903,0.04260976746779499
singleton,1,25,cartoon,False,0.34896173072356673,0.07480533926585098,0.0641997133861123,0.10905279661587597,0.34896173072356673
singleton,1,25,sketch,False,0.026967145416253446,0.021081217632941907,0.026967145416253446,0.01691551410814307,0.016915377280737443
singleton,1,50,photo,False,0.05804185350561797,0.004398311048557257,0.013768413409306679,0.02156552197414996,0.05804185350561797
singleton,1,50,art_painting,False,0.06069346606869769,0.018034428625561594,0.04211672274740397,0.002453762084909661,0.06069346606869769
singleton,1,50,cartoon,False,0.05131745095978135,0.005947651585661906,0.0007843665289519741,0.008783133387351594,0.05131745095978135
singleton,1,50,sketch,False,0.06413349552727865,0.011456970911920772,0.06413349552727865,0.028907490186750984,0.05441273113792072
singleton,1,100,photo,False,0.018846290426247858,0.004926108374384008,0.0093569113712757,0.018846290426247858,0.01707605695779979
singleton,1,100,art_painting,False,0.04409864606812208,0.0032561035024090135,0.04409864606812208,0.01716138091746655,0.024047563693683216
singleton,1,100,cartoon,False,0.12084918646667181,0.030612244897958996,0.02140657257928058,0.004559074909524119,0.12084918646667181
singleton,1,100,sketch,False,0.056781745127609806,0.03447949899562802,0.056781745127609806,0.03373083902356511,0.05185659573236184
singleton,2,25,photo,False,0.052502854077204564,2.220446049250313e-16,0.0136123291966046,0.020020092175228932,0.052502854077204564
singleton,2,25,art_painting,False,0.02414513130460183,0.014413428206531576,0.004843064285788623,0.014334466126630474,0.02414513130460183
singleton,2,25,cartoon,False,0.08478144618959227,0.004737143899705587,0.04575612745747393,0.010474430042214489,0.08478144618959227
singleton,2,25,sketch,False,0.08372351625680452,0.024698447493616604,0.008966025241495035,0.05310068534016621,0.08372351625680452
singleton,2,50,photo,False,0.03845542666454804,0.03845542666454804,0.03491102980267058,0.007213079731120731,0.0363822018423724
singleton,2,50,art_painting,False,0.019704433497536922,0.019704433497536922,0.010854410134415904,0.012715592592853375,0.014192833928288184
singleton,2,50,cartoon,False,0.09204670711339213,0.039253953960771026,0.08124479939225415,0.09204670711339213,0.0554195953715253
singleton,2,50,sketch,False,0.12215907528316161,0.026990403702623733,0.014535154714433285,0.0053914727205408575,0.12215907528316161
singleton,2,100,photo,False,0.08912456144005565,0.009839184716032179,0.005804256596250168,0.03406059567961428,0.08912456144005565
singleton,2,100,art_painting,False,0.13041250864111387,0.00950035186488385,0.006508159190137697,0.003836314468203539,0.13041250864111387
singleton,2,100,cartoon,False,0.08254940872904848,0.03464565902989558,0.0029361825711455847,0.043953748475525356,0.08254940872904848
singleton,2,100,sketch,False,0.0966085800187183,0.0966085800187183,0.0029737355174752067,0.05680321900564522,0.073057701303053
singleton,3,25,photo,False,0.16857613568535101,0.011732205503061977,0.03499562694939218,7.942204369493222e-05,0.16857613568535101
singleton,3,25,art_painting,False,0.1593828487961284,0.00017593244194225033,0.02585969187360715,0.008625036853882273,0.1593828487961284
singleton,3,25,cartoon,False,0.07587982037538765,0.0031644718201209177,0.07587982037538765,0.016646038292298715,0.0025630041565730677
