N,pair,metric,count,mean,std,min,max,n_positive,n_negative,n_zero
25,art_painting__cartoon,DeltaV_i,100,-0.010205921479961595,0.01556353287951617,-0.04456693172204795,0.013169451103251406,36,60,4
25,art_painting__cartoon,DeltaV_j,100,-0.013319590114337925,0.01180892335850766,-0.04330362304723323,0.003590670483894498,8,88,4
25,art_painting__cartoon,DeltaV_ij,100,-0.007949840337502843,0.016508383596924178,-0.03147167922829097,0.025639750406253436,28,68,4
25,art_painting__cartoon,Gamma_learn,100,0.029322140584816664,0.02307839615440986,0.0029456799014933033,0.06016052331910127,100,0,0
25,art_painting__cartoon,Gamma_oper,100,0.01557567125679669,0.01642556612817291,-0.001958034385897589,0.06016052331910127,88,8,4
25,art_painting__cartoon,H_i,100,-0.09966863068059122,0.1254151005683177,-0.6544915682994921,0.05693329786680812,21,79,0
25,art_painting__cartoon,H_j,100,-0.14920263911204024,0.12301709644050147,-0.6330547099491652,0.03584870882757951,8,92,0
25,art_painting__cartoon,H_ij,100,-0.17878074913704636,0.15662539525041305,-0.6043438177843775,0.05850060973043181,10,90,0
25,art_painting__sketch,DeltaV_i,100,-0.010205921479961595,0.01556353287951617,-0.04456693172204795,0.013169451103251406,36,60,4
25,art_painting__sketch,DeltaV_j,100,-0.036217680227810356,0.027981096954897876,-0.1046038007209168,0.0,0,96,4
25,art_painting__sketch,DeltaV_ij,100,-0.0115975571226786,0.017133351010520513,-0.0536261109490368,0.007815378832090158,28,72,0
25,art_painting__sketch,Gamma_learn,100,0.0872262418699541,0.0377311474529556,0.04442884812604464,0.13414742626659326,100,0,0
25,art_painting__sketch,Gamma_oper,100,0.034826044585093356,0.02937784080930767,5.757725824206972e-05,0.1247263213039278,100,0,0
25,art_painting__sketch,H_i,100,-0.09966863068059122,0.1254151005683177,-0.6544915682994921,0.05693329786680812,21,79,0
25,art_painting__sketch,H_j,100,-0.18458714195294385,0.2542266864702658,-1.255100040964423,0.10088222493122412,24,76,0
25,art_painting__sketch,H_ij,100,-0.12753857200061497,0.18376929067854494,-0.837993073223375,0.1059532354893854,27,73,0
25,cartoon__sketch,DeltaV_i,100,-0.013319590114337925,0.01180892335850766,-0.04330362304723323,0.003590670483894498,8,88,4
25,cartoon__sketch,DeltaV_j,100,-0.036217680227810356,0.027981096954897876,-0.1046038007209168,0.0,0,96,4
25,cartoon__sketch,DeltaV_ij,100,-0.026175826573176027,0.023608766318121345,-0.09085542762443755,0.00856301213605326,12,88,0
25,cartoon__sketch,Gamma_learn,100,0.050893729442670496,0.02242597382998781,0.023078759503159074,0.08046675461527186,100,0,0
25,cartoon__sketch,Gamma_oper,100,0.023361443768972253,0.01693981501765041,0.0035775111388945957,0.07725215150793086,100,0,0
25,cartoon__sketch,H_i,100,-0.14920263911204024,0.12301709644050147,-0.6330547099491652,0.03584870882757951,8,92,0
25,cartoon__sketch,H_j,100,-0.18458714195294385,0.2542266864702658,-1.255100040964423,0.10088222493122412,24,76,0
25,cartoon__sketch,H_ij,100,-0.2286632841046089,0.2572711171892851,-1.3145734055233464,0.1128404224796501,17,83,0
25,photo__art_painting,DeltaV_i,100,-0.027023124224070952,0.01583315863031638,-0.05868034626013274,0.0,0,96,4
25,photo__art_painting,DeltaV_j,100,-0.010205921479961595,0.01556353287951617,-0.04456693172204795,0.013169451103251406,36,60,4
25,photo__art_painting,DeltaV_ij,100,-0.023394104120533513,0.01941883145240001,-0.07155797001836761,0.0033288038355353544,4,92,4
25,photo__art_painting,Gamma_learn,100,0.005493036733280299,0.015200349638167202,-0.021666090212054012,0.020320554491294218,80,20,0
25,photo__art_painting,Gamma_oper,100,0.013834941583499032,0.012245415254668223,-0.005127169372089901,0.041056698607150555,88,8,4
25,photo__art_painting,H_i,100,-0.13386289277009278,0.16405871313354564,-0.6808649334385809,0.07717569786535317,20,80,0
25,photo__art_painting,H_j,100,-0.09966863068059122,0.1254151005683177,-0.6544915682994921,0.05693329786680812,21,79,0
25,photo__art_painting,H_ij,100,-0.17127428632493835,0.2154417371348528,-1.0184634220999422,0.11224502123917601,25,75,0
25,photo__cartoon,DeltaV_i,100,-0.027023124224070952,0.01583315863031638,-0.05868034626013274,0.0,0,96,4
25,photo__cartoon,DeltaV_j,100,-0.013319590114337925,0.01180892335850766,-0.04330362304723323,0.003590670483894498,8,88,4
25,photo__cartoon,DeltaV_ij,100,-0.015769014373728685,0.011483197905215157,-0.038428936301169836,0.0015137920851242548,8,88,4
25,photo__cartoon,Gamma_learn,100,0.050336747361102725,0.01622676882300745,0.02260968259829166,0.06716423157679374,100,0,0
25,photo__cartoon,Gamma_oper,100,0.02457369996468019,0.017107955157207977,-0.003590670483894498,0.06609456315376994,92,4,4
25,photo__cartoon,H_i,100,-0.13386289277009278,0.16405871313354564,-0.6808649334385809,0.07717569786535317,20,80,0
25,photo__cartoon,H_j,100,-0.14920263911204024,0.12301709644050147,-0.6330547099491652,0.03584870882757951,8,92,0
25,photo__cartoon,H_ij,100,-0.17248388204107215,0.16839543108829388,-0.6920220362348243,0.09711770185398771,11,89,0
25,photo__sketch,DeltaV_i,100,-0.027023124224070952,0.01583315863031638,-0.05868034626013274,0.0,0,96,4
25,photo__sketch,DeltaV_j,100,-0.036217680227810356,0.027981096954897876,-0.1046038007209168,0.0,0,96,4
25,photo__sketch,DeltaV_ij,100,-0.01546113907102915,0.01628207956579671,-0.04319393004283045,0.012333316336962552,8,88,4
25,photo__sketch,Gamma_learn,100,0.12228278024456923,0.03666731035480872,0.07720581670580151,0.18823137518741961,100,0,0
25,photo__sketch,Gamma_oper,100,0.04777966538085214,0.03465748512608447,0.0,0.11971853743467131,96,0,4
25,photo__sketch,H_i,100,-0.13386289277009278,0.16405871313354564,-0.6808649334385809,0.07717569786535317,20,80,0
25,photo__sketch,H_j,100,-0.18458714195294385,0.2542266864702658,-1.255100040964423,0.10088222493122412,24,76,0
25,photo__sketch,H_ij,100,-0.1034415405092019,0.1898877081067356,-0.731972860886126,0.15044873374517498,39,61,0
50,art_painting__cartoon,DeltaV_i,100,-0.021603409407333646,0.021265553438588682,-0.0559488040926589,0.006386163772268305,12,84,4
50,art_painting__cartoon,DeltaV_j,100,-0.024682852848345302,0.017157446693166354,-0.062014097293041415,0.0,0,96,4
50,art_painting__cartoon,DeltaV_ij,100,-0.025131743480465905,0.018903001248874732,-0.06406303764340582,0.0,0,96,4
50,art_painting__cartoon,Gamma_learn,100,0.04826650060787921,0.021389787194103567,0.02436544873910307,0.0802127290464989,100,0,0
50,art_painting__cartoon,Gamma_oper,100,0.021154518775213026,0.01904474066347129,0.0,0.07234696390747586,96,0,4
50,art_painting__cartoon,H_i,100,-0.1509573263537654,0.16748202131480516,-0.7683102920056015,0.03506932337382285,14,86,0
50,art_painting__cartoon,H_j,100,-0.2003373214150734,0.17081429773004692,-0.8201594524072471,0.01994200398863455,4,96,0
50,art_painting__cartoon,H_ij,100,-0.25609931328038016,0.2062097126220348,-0.930257401935526,0.055011327362457396,8,92,0
50,art_painting__sketch,DeltaV_i,100,-0.021603409407333646,0.021265553438588682,-0.0559488040926589,0.006386163772268305,12,84,4
50,art_painting__sketch,DeltaV_j,100,-0.04900701654002276,0.03771686986487166,-0.1327355142568578,0.0,0,96,4
50,art_painting__sketch,DeltaV_ij,100,-0.028708417366406877,0.022666865664918122,-0.06791837057842143,0.006239938361153108,8,88,4
50,art_painting__sketch,Gamma_learn,100,0.198492845616633,0.05027969710649233,0.1421005386826234,0.2884493744242633,100,0,0
50,art_painting__sketch,Gamma_oper,100,0.041902008580949515,0.03628466532072501,0.0,0.11967796495222915,96,0,4
50,art_painting__sketch,H_i,100,-0.1509573263537654,0.16748202131480516,-0.7683102920056015,0.03506932337382285,14,86,0
50,art_painting__sketch,H_j,100,-0.24213915535789965,0.32316509360445983,-1.5364171763238332,0.09592655696329877,21,79,0
50,art_painting__sketch,H_ij,100,-0.20453744309739222,0.2440731902369463,-0.9930050682060912,0.10481321076350147,18,82,0
50,cartoon__sketch,DeltaV_i,100,-0.024682852848345302,0.017157446693166354,-0.062014097293041415,0.0,0,96,4
50,cartoon__sketch,DeltaV_j,100,-0.04900701654002276,0.03771686986487166,-0.1327355142568578,0.0,0,96,4
50,cartoon__sketch,DeltaV_ij,100,-0.031189886378709945,0.022640846211747626,-0.07332891303176015,0.0,0,96,4
50,cartoon__sketch,Gamma_learn,100,0.15941800096084488,0.047416018873101075,0.11639280100509941,0.23392760399469148,100,0,0
50,cartoon__sketch,Gamma_oper,100,0.04249998300965811,0.03224739026931558,0.0,0.12012303780507494,96,0,4
50,cartoon__sketch,H_i,100,-0.2003373214150734,0.17081429773004692,-0.8201594524072471,0.01994200398863455,4,96,0
50,cartoon__sketch,H_j,100,-0.24213915535789965,0.32316509360445983,-1.5364171763238332,0.09592655696329877,21,79,0
50,cartoon__sketch,H_ij,100,-0.25122655322951154,0.25988101695165655,-1.1393082595965724,0.06721030111911752,15,85,0
50,photo__art_painting,DeltaV_i,100,-0.0307960112405965,0.021596273804974603,-0.0780804839866246,0.0019298571600909753,4,92,4
50,photo__art_painting,DeltaV_j,100,-0.021603409407333646,0.021265553438588682,-0.0559488040926589,0.006386163772268305,12,84,4
50,photo__art_painting,DeltaV_ij,100,-0.033047655475533226,0.02682245909294537,-0.08386517833266671,0.0,0,96,4
50,photo__art_painting,Gamma_learn,100,0.041511865040297184,0.017572485913665052,0.014544436211892942,0.06239914014803383,100,0,0
50,photo__art_painting,Gamma_oper,100,0.019351765172396923,0.01581714126091266,-0.004993101931358046,0.05380676781791116,88,8,4
50,photo__art_painting,H_i,100,-0.15084088434445772,0.19942105784153114,-0.8748663107034994,0.07717569786535317,22,78,0
50,photo__art_painting,H_j,100,-0.1509573263537654,0.16748202131480516,-0.7683102920056015,0.03506932337382285,14,86,0
50,photo__art_painting,H_ij,100,-0.21471526742243704,0.26370096809078053,-1.1051089245299894,0.11224502123917601,19,81,0
50,photo__cartoon,DeltaV_i,100,-0.0307960112405965,0.021596273804974603,-0.0780804839866246,0.0019298571600909753,4,92,4
50,photo__cartoon,DeltaV_j,100,-0.024682852848345302,0.017157446693166354,-0.062014097293041415,0.0,0,96,4
50,photo__cartoon,DeltaV_ij,100,-0.021996851221532138,0.0177193490318226,-0.06139398321821432,0.0023260850852917514,8,88,4
50,photo__cartoon,Gamma_learn,100,0.08425201341652766,0.017454467432638156,0.05866660397792922,0.10589416697287934,100,0,0
50,photo__cartoon,Gamma_oper,100,0.03348201286740966,0.02568073407329842,-0.0019298571600909753,0.08560256889789264,88,8,4
50,photo__cartoon,H_i,100,-0.15084088434445772,0.19942105784153114,-0.8748663107034994,0.07717569786535317,22,78,0
50,photo__cartoon,H_j,100,-0.2003373214150734,0.17081429773004692,-0.8201594524072471,0.01994200398863455,4,96,0
50,photo__cartoon,H_ij,100,-0.20050914785618765,0.20437877764891912,-0.9216725054052691,0.09711770185398771,10,90,0
50,photo__sketch,DeltaV_i,100,-0.0307960112405965,0.021596273804974603,-0.0780804839866246,0.0019298571600909753,4,92,4
50,photo__sketch,DeltaV_j,100,-0.04900701654002276,0.03771686986487166,-0.1327355142568578,0.0,0,96,4
50,photo__sketch,DeltaV_ij,100,-0.017519747506577046,0.017379949649145982,-0.051964941209553195,0.013655027861813052,20,76,4
50,photo__sketch,Gamma_learn,100,0.25654242530885585,0.03821655108365622,0.22116209346697846,0.3276489441028726,100,0,0
50,photo__sketch,Gamma_oper,100,0.06228328027404219,0.04911540573439008,-0.0019298571600909753,0.15681325225451592,92,4,4
50,photo__sketch,H_i,100,-0.15084088434445772,0.19942105784153114,-0.8748663107034994,0.07717569786535317,22,78,0
50,photo__sketch,H_j,100,-0.24213915535789965,0.32316509360445983,-1.5364171763238332,0.09592655696329877,21,79,0
50,photo__sketch,H_ij,100,-0.11270527846916746,0.20522180947595073,-0.7837146964440773,0.166288747548199,35,65,0
100,art_painting__cartoon,DeltaV_i,100,-0.029705094363435384,0.021051521500339725,-0.07791713571067238,0.0,0,96,4
100,art_painting__cartoon,DeltaV_j,100,-0.039315116960104125,0.026857835828876464,-0.09346565419754027,0.0,0,96,4
100,art_painting__cartoon,DeltaV_ij,100,-0.029358099637545775,0.014965351526077884,-0.058126146899839526,0.0,0,96,4
100,art_painting__cartoon,Gamma_learn,100,0.11727533977300053,0.015965198910657733,0.09857365713837773,0.1464630461249894,100,0,0
100,art_painting__cartoon,Gamma_oper,100,0.039662111685993734,0.031841205490310186,0.0,0.09830944823921617,96,0,4
100,art_painting__cartoon,H_i,100,-0.1874149086562232,0.19618452682842186,-0.9879936081857363,0.03506932337382285,14,86,0
100,art_painting__cartoon,H_j,100,-0.2661825099179881,0.24563671638951998,-1.1346750214522356,0.01994200398863455,4,96,0
100,art_painting__cartoon,H_ij,100,-0.27511791598723956,0.2127736727061829,-0.8888057977304008,0.055011327362457396,8,92,0
100,art_painting__sketch,DeltaV_i,100,-0.029705094363435384,0.021051521500339725,-0.07791713571067238,0.0,0,96,4
100,art_painting__sketch,DeltaV_j,100,-0.05646158506928173,0.04542308450504598,-0.15224385271271923,0.0,0,96,4
100,art_painting__sketch,DeltaV_ij,100,-0.025138729190931932,0.019576837089085676,-0.0663467367748537,0.005741151948009948,8,88,4
100,art_painting__sketch,Gamma_learn,100,0.3835728214425636,0.04745938099445799,0.3248166108055497,0.4666438029763824,100,0,0
100,art_painting__sketch,Gamma_oper,100,0.061027950241785166,0.053583585117821575,0.0,0.16550737645018376,96,0,4
100,art_painting__sketch,H_i,100,-0.1874149086562232,0.19618452682842186,-0.9879936081857363,0.03506932337382285,14,86,0
100,art_painting__sketch,H_j,100,-0.275684713739565,0.37097718135088026,-1.7315005608824474,0.09592655696329877,21,79,0
100,art_painting__sketch,H_ij,100,-0.188473846307755,0.2241347815916535,-0.9867869497758855,0.10481321076350147,19,81,0
100,cartoon__sketch,DeltaV_i,100,-0.039315116960104125,0.026857835828876464,-0.09346565419754027,0.0,0,96,4
100,cartoon__sketch,DeltaV_j,100,-0.05646158506928173,0.04542308450504598,-0.15224385271271923,0.0,0,96,4
100,cartoon__sketch,DeltaV_ij,100,-0.04181665178469849,0.030240415315066226,-0.1113833016009903,0.0009547943346445154,4,92,4
100,cartoon__sketch,Gamma_learn,100,0.32612611365914795,0.04293128221328407,0.2809163615314342,0.38962206569638,100,0,0
100,cartoon__sketch,Gamma_oper,100,0.05396005024468735,0.043409308241461664,0.0,0.13727288031639162,96,0,4
100,cartoon__sketch,H_i,100,-0.2661825099179881,0.24563671638951998,-1.1346750214522356,0.01994200398863455,4,96,0
100,cartoon__sketch,H_j,100,-0.275684713739565,0.37097718135088026,-1.7315005608824474,0.09592655696329877,21,79,0
100,cartoon__sketch,H_ij,100,-0.29904699755645997,0.31291050863589426,-1.382448702767865,0.06721030111911752,13,87,0
100,photo__art_painting,DeltaV_i,100,-0.03436621790518981,0.025686659008457596,-0.08895898200683228,0.0,0,96,4
100,photo__art_painting,DeltaV_j,100,-0.029705094363435384,0.021051521500339725,-0.07791713571067238,0.0,0,96,4
100,photo__art_painting,DeltaV_ij,100,-0.02525899205002973,0.0193872946670489,-0.07212858398737787,0.0,0,96,4
100,photo__art_painting,Gamma_learn,100,0.09433354360613132,0.017472804887750205,0.06310721532340302,0.11066917496252437,100,0,0
100,photo__art_painting,Gamma_oper,100,0.038812320218595465,0.027599941714913336,0.0,0.09474753373012679,96,0,4
100,photo__art_painting,H_i,100,-0.16690681433512766,0.22441443486166474,-0.9836512909055762,0.07717569786535317,21,79,0
100,photo__art_painting,H_j,100,-0.1874149086562232,0.19618452682842186,-0.9879936081857363,0.03506932337382285,14,86,0
100,photo__art_painting,H_ij,100,-0.17966628200767132,0.22388830564978834,-1.0241695617900448,0.11224502123917601,21,79,0
100,photo__cartoon,DeltaV_i,100,-0.03436621790518981,0.025686659008457596,-0.08895898200683228,0.0,0,96,4
100,photo__cartoon,DeltaV_j,100,-0.039315116960104125,0.026857835828876464,-0.09346565419754027,0.0,0,96,4
100,photo__cartoon,DeltaV_ij,100,-0.015698280569934702,0.014782189091999085,-0.053253592481459666,0.0,0,96,4
100,photo__cartoon,Gamma_learn,100,0.16306267916937692,0.020102645397203082,0.13929294067320852,0.1908024727668024,100,0,0
100,photo__cartoon,Gamma_oper,100,0.057983054295359236,0.04447108061226394,0.0,0.1528971629879089,96,0,4
100,photo__cartoon,H_i,100,-0.16690681433512766,0.22441443486166474,-0.9836512909055762,0.07717569786535317,21,79,0
100,photo__cartoon,H_j,100,-0.2661825099179881,0.24563671638951998,-1.1346750214522356,0.01994200398863455,4,96,0
100,photo__cartoon,H_ij,100,-0.1721655799239992,0.17921807546483415,-0.8402685980377226,0.09711770185398771,10,90,0
100,photo__sketch,DeltaV_i,100,-0.03436621790518981,0.025686659008457596,-0.08895898200683228,0.0,0,96,4
100,photo__sketch,DeltaV_j,100,-0.05646158506928173,0.04542308450504598,-0.15224385271271923,0.0,0,96,4
100,photo__sketch,DeltaV_ij,100,-0.01728289818219415,0.022905230550483553,-0.059006108633169685,0.03029494696697288,16,80,4
100,photo__sketch,Gamma_learn,100,0.4203227965940124,0.04119090418283078,0.3564881939959156,0.4851123861072745,100,0,0
100,photo__sketch,Gamma_oper,100,0.07354490479227739,0.06134243024730718,0.0,0.1838997346023974,96,0,4
100,photo__sketch,H_i,100,-0.16690681433512766,0.22441443486166474,-0.9836512909055762,0.07717569786535317,21,79,0
100,photo__sketch,H_j,100,-0.275684713739565,0.37097718135088026,-1.7315005608824474,0.09592655696329877,21,79,0
100,photo__sketch,H_ij,100,-0.11163945650944443,0.2270169613727777,-0.9094094716811059,0.22642739460384897,39,61,0
