seed,N,domain_i,domain_j,pair,DeltaS_i_photo,DeltaS_j_photo,DeltaS_ij_photo,DeltaS_ij_CM_photo,interaction_S_photo,DeltaS_i_art_painting,DeltaS_j_art_painting,DeltaS_ij_art_painting,DeltaS_ij_CM_art_painting,interaction_S_art_painting,DeltaS_i_cartoon,DeltaS_j_cartoon,DeltaS_ij_cartoon,DeltaS_ij_CM_cartoon,interaction_S_cartoon,DeltaS_i_sketch,DeltaS_j_sketch,DeltaS_ij_sketch,DeltaS_ij_CM_sketch,interaction_S_sketch
0,25,photo,art_painting,photo__art_painting,0.021597651543623253,0.0010005238036382424,0.026712724392686238,0.016130713810675656,0.004114549045424742,-0.052684215870165696,-0.02923379878267085,-0.053066479275658995,-0.031232131501461646,0.02885153537717755,-0.08913748976565194,-0.08174424510163769,-0.14538079424216133,-0.08206531321373911,0.02550094062512831,-0.11877600464043137,-0.06829020680752151,-0.24332648952423253,-0.10435804028213358,-0.056260278076279646
0,25,photo,cartoon,photo__cartoon,0.021597651543623253,-0.005115072849062985,0.00591360014528608,-0.004290481487366882,-0.010568978549274188,-0.052684215870165696,-0.03996229023162012,-0.025240250590940705,-0.015464300409873233,0.06740625551084511,-0.08913748976565194,-0.007630628955986429,-0.0317616813501419,-0.032191982612800096,0.06500643737149647,-0.11877600464043137,-0.08574090527921752,-0.05770369794554209,-0.02253246248716423,0.1468132119741068
0,25,photo,sketch,photo__sketch,0.021597651543623253,-0.1122125280714189,-0.014636444121586378,-0.014636444121586378,0.07597843240620927,-0.052684215870165696,-0.20081128549875038,-0.07248968191623328,-0.01736038746475277,0.1810058194526828,-0.08913748976565194,-0.0118827552258427,-0.04870869586488957,-0.027522678277255297,0.05231154912660507,-0.11877600464043137,-0.09588954350044354,-0.036940898268612465,0.0016058257062429027,0.17772464987226244
0,25,art_painting,cartoon,art_painting__cartoon,0.0010005238036382424,-0.005115072849062985,0.005385802819459218,-0.004466413929309243,0.00950035186488396,-0.02923379878267085,-0.03996229023162012,-0.03215180809165785,-0.008049886621315228,0.03704428092263312,-0.08174424510163769,-0.007630628955986429,-0.04139999375673553,-0.0274919845465893,0.04797488030088859,-0.06829020680752151,-0.08574090527921752,-0.00790853189874019,-0.012983708985764175,0.14612258018799884
0,25,art_painting,sketch,art_painting__sketch,0.0010005238036382424,-0.1122125280714189,-0.010062200631086649,-0.009710335747202259,0.10114980363669401,-0.02923379878267085,-0.20081128549875038,-0.042435691218094984,-0.017034768869579775,0.18760939306332625,-0.08174424510163769,-0.0118827552258427,-0.036492425759954816,-0.02043420446328259,0.057134574567525576,-0.06829020680752151,-0.09588954350044354,0.006982820874366302,0.009945953400963159,0.17116257118233136
0,25,cartoon,sketch,cartoon__sketch,-0.005115072849062985,-0.1122125280714189,-0.09935411564205476,-0.039408866995073955,0.017973485278427126,-0.03996229023162012,-0.20081128549875038,-0.11682333053671856,-0.05947384452602711,0.12395024519365194,-0.007630628955986429,-0.0118827552258427,-0.0006777139146439959,-0.004334267926369151,0.018835670267185134,-0.08574090527921752,-0.09588954350044354,-0.02052283105783803,-0.020298695812563716,0.16110761772182303
0,50,photo,art_painting,photo__art_painting,0.016130713810675656,-0.003912552538009484,0.0066564260112647045,0.01558988445211218,-0.005561735261401468,-0.06549787760089643,0.001143494842294035,-0.058930820298792375,-0.022959584462221683,0.005423562459810016,-0.14845744120794135,-0.10652882772658345,-0.15937654021796654,-0.1190074510136031,0.09560972871655826,-0.19566372324828263,-0.1459603915044282,-0.20591784456057705,-0.15924207597767304,0.13570627019213377
0,50,photo,cartoon,photo__cartoon,0.016130713810675656,-0.0598170302603801,0.0006356268870172377,-0.004290481487366882,0.04432194333672168,-0.06549787760089643,-0.06379158628625581,-0.052363050483351326,-0.02423845683861381,0.07692641340380091,-0.14845744120794135,-0.0161003789872618,-0.016971881266300337,-0.03481725895767851,0.14758593892890282,-0.19566372324828263,-0.03566594794612554,-0.07658729897231642,-0.04328729152124611,0.15474237222209175
0,50,photo,sketch,photo__sketch,0.016130713810675656,-0.19047306343508474,-0.004960159814760168,0.00031781344350856333,0.16938218980964892,-0.06549787760089643,-0.4323993174122228,-0.029189801084089084,-0.007634046024799002,0.46870739392903016,-0.14845744120794135,-0.10540978504517617,-0.059212472991027165,-0.05116154366818648,0.19465475326209036,-0.19566372324828263,-0.15181890651330787,-0.1617151262548806,-0.07844281054533253,0.1857675035067099
0,50,art_painting,cartoon,art_painting__cartoon,-0.003912552538009484,-0.0598170302603801,-0.003912552538009484,-0.004466413929309243,0.0598170302603801,0.001143494842294035,-0.06379158628625581,-0.02734661814450834,-0.0021068128744036185,0.035301473299453434,-0.10652882772658345,-0.0161003789872618,-0.05581551842091148,-0.01839790150519427,0.06681368829293377,-0.1459603915044282,-0.03566594794612554,-0.022707615117325775,-0.03679168245430742,0.15891872433322796
