seed,N,domain_i,domain_j,pair,c,V_F0,V_Fij,V_Fij_CM,DeltaV_ij,DeltaV_ij_CM,D_dose,routing_Fij_CM
0,25,photo,art_painting,photo__art_painting,0.0,0.8415327641275345,0.8272365553562133,0.8326951422997627,-0.014296208771321206,-0.008837621827771813,-0.005458586943549393,"D,F,D,D"
0,25,photo,art_painting,photo__art_painting,0.02,0.8315327641275345,0.8122365553562133,0.8176951422997627,-0.01929620877132121,-0.013837621827771818,-0.005458586943549393,"D,F,D,D"
0,25,photo,art_painting,photo__art_painting,0.05,0.8201570968646186,0.7949301041636981,0.7977431884617449,-0.025226992700920436,-0.022413908402873717,-0.0028130842980467197,"F,F,D,D"
0,25,photo,art_painting,photo__art_painting,0.1,0.818672464573932,0.7699301041636982,0.7782564491107167,-0.04874236041023372,-0.04041601546321527,-0.00832634494701845,"F,F,F,D"
0,25,photo,art_painting,photo__art_painting,0.15,0.818672464573932,0.7471144945555643,0.7682912717772673,-0.07155797001836761,-0.05038119279666464,-0.02117677722170297,"F,F,F,F"
0,25,photo,cartoon,photo__cartoon,0.0,0.8415327641275345,0.8341931125273929,0.8366371000726598,-0.007339651600141606,-0.004895664054874738,-0.002443987545266868,"D,F,D,D"
0,25,photo,cartoon,photo__cartoon,0.02,0.8315327641275345,0.8191931125273929,0.8216371000726598,-0.01233965160014161,-0.009895664054874742,-0.002443987545266868,"D,F,D,D"
0,25,photo,cartoon,photo__cartoon,0.05,0.8201570968646186,0.8022822811422639,0.8046186933718661,-0.01787481572235472,-0.015538403492752484,-0.002336412229602236,"D,F,F,D"
0,25,photo,cartoon,photo__cartoon,0.1,0.818672464573932,0.7914744571385972,0.8000526578246308,-0.027198007435334737,-0.018619806749301193,-0.008578200686033544,"F,F,F,F"
0,25,photo,cartoon,photo__cartoon,0.15,0.818672464573932,0.7914744571385972,0.8000526578246308,-0.027198007435334737,-0.018619806749301193,-0.008578200686033544,"F,F,F,F"
0,25,photo,sketch,photo__sketch,0.0,0.8415327641275345,0.825797612405375,0.8361630783089399,-0.015735151722159557,-0.0053696858185946494,-0.010365465903564908,"D,F,D,D"
0,25,photo,sketch,photo__sketch,0.02,0.8315327641275345,0.8073807546960697,0.8211630783089399,-0.024152009431464783,-0.010369685818594654,-0.013782323612870129,"D,F,D,D"
0,25,photo,sketch,photo__sketch,0.05,0.8201570968646186,0.7862331696822538,0.8093377868556773,-0.03392392718236481,-0.010819310008941319,-0.023104617173423492,"D,F,F,F"
0,25,photo,sketch,photo__sketch,0.1,0.818672464573932,0.7754785345311015,0.804194043534594,-0.04319393004283045,-0.014478421039337941,-0.028715509003492512,"F,F,F,F"
0,25,photo,sketch,photo__sketch,0.15,0.818672464573932,0.7754785345311015,0.804194043534594,-0.04319393004283045,-0.014478421039337941,-0.028715509003492512,"F,F,F,F"
0,25,art_painting,cartoon,art_painting__cartoon,0.0,0.8415327641275345,0.8324652231522136,0.8384907035197993,-0.00906754097532092,-0.003042060607735264,-0.006025480367585656,"D,F,D,D"
0,25,art_painting,cartoon,art_painting__cartoon,0.02,0.8315327641275345,0.8174652231522136,0.8234907035197992,-0.014067540975320925,-0.008042060607735269,-0.006025480367585656,"D,F,D,D"
