N,pair,c,B,n_seeds,rescue_seeds
25,art_painting__cartoon,0.0,1,5,0
25,art_painting__cartoon,0.0,2,5,0
25,art_painting__cartoon,0.0,5,5,0
25,art_painting__cartoon,0.0,10,5,0
25,art_painting__cartoon,0.02,1,5,0
25,art_painting__cartoon,0.02,2,5,0
25,art_painting__cartoon,0.02,5,5,0
25,art_painting__cartoon,0.02,10,5,0
25,art_painting__cartoon,0.05,1,5,0
25,art_painting__cartoon,0.05,2,5,0
25,art_painting__cartoon,0.05,5,5,0
25,art_painting__cartoon,0.05,10,5,0
25,art_painting__cartoon,0.1,1,5,0
25,art_painting__cartoon,0.1,2,5,0
25,art_painting__cartoon,0.1,5,5,0
25,art_painting__cartoon,0.1,10,5,0
25,art_painting__cartoon,0.15,1,5,0
25,art_painting__cartoon,0.15,2,5,0
25,art_painting__cartoon,0.15,5,5,0
25,art_painting__cartoon,0.15,10,5,0
25,art_painting__sketch,0.0,1,5,0
25,art_painting__sketch,0.0,2,5,0
25,art_painting__sketch,0.0,5,5,0
25,art_painting__sketch,0.0,10,5,0
25,art_painting__sketch,0.02,1,5,0
25,art_painting__sketch,0.02,2,5,0
25,art_painting__sketch,0.02,5,5,0
25,art_painting__sketch,0.02,10,5,0
25,art_painting__sketch,0.05,1,5,0
25,art_painting__sketch,0.05,2,5,0
25,art_painting__sketch,0.05,5,5,0
25,art_painting__sketch,0.05,10,5,0
25,art_painting__sketch,0.1,1,5,0
25,art_painting__sketch,0.1,2,5,0
25,art_painting__sketch,0.1,5,5,0
25,art_painting__sketch,0.1,10,5,0
25,art_painting__sketch,0.15,1,5,0
25,art_painting__sketch,0.15,2,5,0
25,art_painting__sketch,0.15,5,5,0
25,art_painting__sketch,0.15,10,5,0
25,cartoon__sketch,0.0,1,5,0
25,cartoon__sketch,0.0,2,5,0
25,cartoon__sketch,0.0,5,5,0
25,cartoon__sketch,0.0,10,5,0
25,cartoon__sketch,0.02,1,5,0
25,cartoon__sketch,0.02,2,5,0
25,cartoon__sketch,0.02,5,5,0
25,cartoon__sketch,0.02,10,5,0
25,cartoon__sketch,0.05,1,5,0
25,cartoon__sketch,0.05,2,5,0
25,cartoon__sketch,0.05,5,5,0
25,cartoon__sketch,0.05,10,5,1
25,cartoon__sketch,0.1,1,5,0
25,cartoon__sketch,0.1,2,5,0
25,cartoon__sketch,0.1,5,5,0
25,cartoon__sketch,0.1,10,5,0
25,cartoon__sketch,0.15,1,5,0
25,cartoon__sketch,0.15,2,5,0
25,cartoon__sketch,0.15,5,5,0
25,cartoon__sketch,0.15,10,5,0
25,photo__art_painting,0.0,1,5,0
25,photo__art_painting,0.0,2,5,0
25,photo__art_painting,0.0,5,5,0
25,photo__art_painting,0.0,10,5,0
25,photo__art_painting,0.02,1,5,0
25,photo__art_painting,0.02,2,5,0
25,photo__art_painting,0.02,5,5,0
25,photo__art_painting,0.02,10,5,0
25,photo__art_painting,0.05,1,5,0
25,photo__art_painting,0.05,2,5,0
25,photo__art_painting,0.05,5,5,0
25,photo__art_painting,0.05,10,5,0
25,photo__art_painting,0.1,1,5,0
25,photo__art_painting,0.1,2,5,0
25,photo__art_painting,0.1,5,5,0
25,photo__art_painting,0.1,10,5,0
25,photo__art_painting,0.15,1,5,0
25,photo__art_painting,0.15,2,5,0
25,photo__art_painting,0.15,5,5,0
25,photo__art_painting,0.15,10,5,0
25,photo__cartoon,0.0,1,5,0
25,photo__cartoon,0.0,2,5,0
25,photo__cartoon,0.0,5,5,0
25,photo__cartoon,0.0,10,5,0
25,photo__cartoon,0.02,1,5,0
25,photo__cartoon,0.02,2,5,0
25,photo__cartoon,0.02,5,5,0
25,photo__cartoon,0.02,10,5,0
25,photo__cartoon,0.05,1,5,0
25,photo__cartoon,0.05,2,5,0
25,photo__cartoon,0.05,5,5,0
25,photo__cartoon,0.05,10,5,0
25,photo__cartoon,0.1,1,5,0
25,photo__cartoon,0.1,2,5,0
25,photo__cartoon,0.1,5,5,0
25,photo__cartoon,0.1,10,5,0
25,photo__cartoon,0.15,1,5,0
25,photo__cartoon,0.15,2,5,0
25,photo__cartoon,0.15,5,5,0
25,photo__cartoon,0.15,10,5,0
25,photo__sketch,0.0,1,5,0
25,photo__sketch,0.0,2,5,0
25,photo__sketch,0.0,5,5,0
25,photo__sketch,0.0,10,5,0
25,photo__sketch,0.02,1,5,0
25,photo__sketch,0.02,2,5,0
25,photo__sketch,0.02,5,5,0
25,photo__sketch,0.02,10,5,0
25,photo__sketch,0.05,1,5,0
25,photo__sketch,0.05,2,5,0
25,photo__sketch,0.05,5,5,0
25,photo__sketch,0.05,10,5,0
25,photo__sketch,0.1,1,5,0
25,photo__sketch,0.1,2,5,0
25,photo__sketch,0.1,5,5,0
25,photo__sketch,0.1,10,5,0
25,photo__sketch,0.15,1,5,0
25,photo__sketch,0.15,2,5,0
25,photo__sketch,0.15,5,5,0
25,photo__sketch,0.15,10,5,0
50,art_painting__cartoon,0.0,1,5,0
50,art_painting__cartoon,0.0,2,5,0
50,art_painting__cartoon,0.0,5,5,0
50,art_painting__cartoon,0.0,10,5,0
50,art_painting__cartoon,0.02,1,5,0
50,art_painting__cartoon,0.02,2,5,0
50,art_painting__cartoon,0.02,5,5,0
50,art_painting__cartoon,0.02,10,5,0
50,art_painting__cartoon,0.05,1,5,0
50,art_painting__cartoon,0.05,2,5,0
50,art_painting__cartoon,0.05,5,5,0
50,art_painting__cartoon,0.05,10,5,0
50,art_painting__cartoon,0.1,1,5,0
50,art_painting__cartoon,0.1,2,5,0
