state_type,seed,evaluation_split,test_used,ba_photo,ba_art_painting,ba_cartoon,ba_sketch,N,domain,domain_i,domain_j
D,0,validation,False,0.9645774636637501,0.7340881521500979,0.8116371153725156,0.7928877184351361,,,,
D,1,validation,False,0.9608843537414966,0.7531961621008866,0.7930823610573434,0.7183475191714354,,,,
D,2,validation,False,0.9389810800107956,0.6869515173748741,0.7756449666586448,0.7857328015419623,,,,
D,3,validation,False,0.935162694419011,0.7933485989315862,0.7833769551943288,0.7486134995866532,,,,
D,4,validation,False,0.9379450334082465,0.7500283548548953,0.8064552519539161,0.7641797565511917,,,,
F0,0,validation,False,0.9086389345010035,0.7929104032291104,0.8157554711821414,0.7573850493834721,,,,
F0,1,validation,False,0.9185985474877896,0.7107220113560592,0.8431008405341763,0.643503839283553,,,,
F0,2,validation,False,0.8953889305073159,0.71171273054058,0.8208154578247024,0.6723233184957227,,,,
F0,3,validation,False,0.8954490460131649,0.736018528909338,0.8303340507180447,0.8076755333419083,,,,
F0,4,validation,False,0.8607693355428934,0.7149590314810724,0.7865132479652815,0.7169114594207088,,,,
Fi,0,validation,False,0.9107211170217685,0.7415275039054637,0.6678849760906702,0.605680093719532,100.0,art_painting,,
Fi,0,validation,False,0.844058696275445,0.6662611575135422,0.7844100735935545,0.7322829338638133,100.0,cartoon,,
Fi,0,validation,False,0.9240999699842859,0.6902291264764612,0.6322790591954578,0.5489877844907262,100.0,photo,,
Fi,0,validation,False,0.4595616864963758,0.26960818891578625,0.6004874933376201,0.5678546154027984,100.0,sketch,,
Fi,0,validation,False,0.9096394583046418,0.7636766044464396,0.7340112260805037,0.6890948425759506,25.0,art_painting,,
Fi,0,validation,False,0.9035238616519405,0.7529481129974903,0.808124842226155,0.6716441441042545,25.0,cartoon,,
Fi,0,validation,False,0.9302365860446268,0.7402261873589447,0.7266179814164895,0.6386090447430407,25.0,photo,,
Fi,0,validation,False,0.7964264064295846,0.5920991177303601,0.8038727159562987,0.6614955058830285,25.0,sketch,,
Fi,0,validation,False,0.904726381962994,0.7940538980714045,0.709226643455558,0.6114246578790439,50.0,art_painting,,
Fi,0,validation,False,0.8488219042406234,0.7291188169428546,0.7996550921948796,0.7217191014373465,50.0,cartoon,,
Fi,0,validation,False,0.9247696483116792,0.727412525628214,0.6672980299742001,0.5617213261351894,50.0,photo,,
Fi,0,validation,False,0.7181658710659188,0.3605110858168876,0.7103456861369652,0.6055661428701642,50.0,sketch,,
Fi,1,validation,False,0.9061939570043813,0.7179343007645106,0.7036671935951233,0.45873270202575706,100.0,art_painting,,
Fi,1,validation,False,0.7812505784379294,0.49942922823632063,0.7596345868575985,0.5447336927962361,100.0,cartoon,,
Fi,1,validation,False,0.9337287374948268,0.6716922364492783,0.6692099521058863,0.3954488689150821,100.0,photo,,
Fi,1,validation,False,0.44183842271399876,0.2572763805229297,0.5954034762833641,0.498768187775953,100.0,sketch,,
Fi,1,validation,False,0.9288026291204426,0.7171314844583838,0.7843845124155687,0.6052153737843728,25.0,art_painting,,
Fi,1,validation,False,0.8766400134110288,0.6535843199348979,0.8100885720584036,0.6023978410683154,25.0,cartoon,,
Fi,1,validation,False,0.9213268536643716,0.6974486597705091,0.7485030175558853,0.5039364094902697,25.0,photo,,
Fi,1,validation,False,0.8326258200721891,0.61258018676378,0.785755856879984,0.6502002316280047,25.0,sketch,,
Fi,1,validation,False,0.91402430399729,0.7004620487057923,0.7269117406749448,0.5158849590923567,50.0,art_painting,,
Fi,1,validation,False,0.856407782587665,0.5860924440713465,0.8212779946214566,0.5869869101794041,50.0,cartoon,,
Fi,1,validation,False,0.9187744799297318,0.6888587096307891,0.6902437788784751,0.40181189180683063,50.0,photo,,
Fi,1,validation,False,0.6438212642805047,0.46096170462122654,0.7570303408936542,0.5938572640635622,50.0,sketch,,
Fi,2,validation,False,0.9112619463803319,0.7401498190611877,0.6956146419028831,0.5673866733917037,100.0,art_painting,,
Fi,2,validation,False,0.8119418821786532,0.5622201204208548,0.7415481732792307,0.5890634167481086,100.0,cartoon,,
Fi,2,validation,False,0.9249926642267339,0.697632508983218,0.713473877172622,0.5498428776679205,100.0,photo,,
Fi,2,validation,False,0.523249941905591,0.24234287857298878,0.5815208298657035,0.6626523082260941,100.0,sketch,,
Fi,2,validation,False,0.920607385210913,0.7600720579516749,0.7999154801230165,0.6166087929235736,25.0,art_painting,,
Fi,2,validation,False,0.8958957084255035,0.6859585365741317,0.8101463694522665,0.6287541502063262,25.0,cartoon,,
Fi,2,validation,False,0.9056531276458181,0.7095927319161534,0.7436354336536662,0.5495906388843277,25.0,photo,,
Fi,2,validation,False,0.8297190461897278,0.5728715053396456,0.7954676385303461,0.7179695043731849,25.0,sketch,,
Fi,2,validation,False,0.9107551684621445,0.7553622687901614,0.7771429065295522,0.6825247486755367,50.0,art_painting,,
Fi,2,validation,False,0.8755215966005733,0.6450048451560438,0.7825570640184211,0.6365657903632691,50.0,cartoon,,
Fi,2,validation,False,0.9249926642267339,0.7100481984022916,0.691111379155795,0.5130469895377938,50.0,photo,,
Fi,2,validation,False,0.6713901091463461,0.38632342023514893,0.7545786609688931,0.7189611906429788,50.0,sketch,,
Fi,3,validation,False,0.9262502553858029,0.7903645930747266,0.6898323995429985,0.5672977709582746,100.0,art_painting,,
Fi,3,validation,False,0.8448015221414237,0.60091798437102,0.8165690827147315,0.6610443612505815,100.0,cartoon,,
Fi,3,validation,False,0.9709030441987697,0.6955575684057335,0.6703164250938446,0.5384315306496245,100.0,photo,,
Fi,3,validation,False,0.33995721806781715,0.17738990332975296,0.5154046230421157,0.4545200262154773,100.0,sketch,,
Fi,3,validation,False,0.9213241470114186,0.7701533506830331,0.7721814171428903,0.7471906491772541,25.0,art_painting,,
Fi,3,validation,False,0.8702305913095679,0.7025572103677815,0.8445066350870499,0.7731408806667792,25.0,cartoon,,
Fi,3,validation,False,0.9213241470114186,0.7754511545387991,0.734551117399807,0.6126420029627263,25.0,photo,,
