domain,N,outcome,c,classification,positive_seeds,nonpositive_seeds,mean
art_painting,25,interference_reduction,,POSITIVE,4,1,0.07091786987430178
art_painting,25,local_learning,,INCONCLUSIVE,3,2,-0.0035072010857284176
art_painting,50,interference_reduction,,POSITIVE,5,0,0.1531509394446888
art_painting,50,local_learning,,NULL,1,4,-0.003916776549928946
art_painting,100,interference_reduction,,POSITIVE,5,0,0.2873590471875242
art_painting,100,local_learning,,POSITIVE,4,1,0.015164693309134591
cartoon,25,interference_reduction,,POSITIVE,5,0,0.1200503558659128
cartoon,25,local_learning,,INCONCLUSIVE,1,4,0.0011687398701607954
cartoon,50,interference_reduction,,POSITIVE,5,0,0.1758556758040783
cartoon,50,local_learning,,POSITIVE,4,1,0.015283919987349926
cartoon,100,interference_reduction,,POSITIVE,5,0,0.31862230953573034
cartoon,100,local_learning,,POSITIVE,4,1,0.029874438759971467
photo,25,interference_reduction,,POSITIVE,5,0,0.12396759185415666
photo,25,local_learning,,INCONCLUSIVE,2,3,-0.0014016581790298854
photo,50,interference_reduction,,POSITIVE,5,0,0.2943452470708967
photo,50,local_learning,,NULL,1,4,-0.007211632644653454
photo,100,interference_reduction,,POSITIVE,5,0,0.391842242614851
photo,100,local_learning,,POSITIVE,4,1,0.009555969217497884
sketch,25,interference_reduction,,POSITIVE,5,0,0.260001886020336
sketch,25,local_learning,,POSITIVE,5,0,0.08197211402181612
sketch,50,interference_reduction,,POSITIVE,5,0,0.6755166967783245
sketch,50,local_learning,,POSITIVE,5,0,0.14775693464024628
sketch,100,interference_reduction,,POSITIVE,5,0,1.1636189265231882
sketch,100,local_learning,,POSITIVE,5,0,0.10744130658091058
art_painting,25,future_value,0.0,INCONCLUSIVE,3,2,0.002014206041147859
art_painting,25,future_value,0.02,INCONCLUSIVE,2,3,-0.0003497508482700473
art_painting,25,future_value,0.05,POSITIVE,4,1,0.0036942090375286173
art_painting,25,future_value,0.1,POSITIVE,4,1,0.010627406754312974
art_painting,25,future_value,0.15,POSITIVE,4,1,0.014749702779877527
art_painting,50,future_value,0.0,INCONCLUSIVE,3,2,0.0010485469881529985
art_painting,50,future_value,0.02,POSITIVE,4,1,0.004836458930539522
art_painting,50,future_value,0.05,POSITIVE,4,1,0.013512862554833572
art_painting,50,future_value,0.1,POSITIVE,5,0,0.0224969945984415
art_painting,50,future_value,0.15,POSITIVE,5,0,0.03142587163759773
art_painting,100,future_value,0.0,POSITIVE,4,1,0.0017488883440520242
art_painting,100,future_value,0.02,POSITIVE,4,1,0.007242482838492248
art_painting,100,future_value,0.05,POSITIVE,4,1,0.019884019817059517
art_painting,100,future_value,0.1,POSITIVE,5,0,0.040797814074031866
art_painting,100,future_value,0.15,POSITIVE,5,0,0.0563409062415204
cartoon,25,future_value,0.0,INCONCLUSIVE,2,3,0.0028941300185939102
cartoon,25,future_value,0.02,INCONCLUSIVE,2,3,0.002732275362456904
cartoon,25,future_value,0.05,POSITIVE,5,0,0.007704242420101326
cartoon,25,future_value,0.1,POSITIVE,5,0,0.024890292157954484
