seed,domain,N,method,c,V_F0,V,DeltaV,routing_F0,routing,DeltaV_contribution_photo,DeltaV_contribution_art_painting,DeltaV_contribution_cartoon,DeltaV_contribution_sketch
0,photo,25,STD,0.0,0.8415327641275345,0.8273321212075867,-0.014200642919947826,"D,F,F,D","D,F,D,D",0.0,-0.013171053967541424,-0.0010295889524064572,0.0
0,photo,25,STD,0.02,0.8315327641275345,0.8123321212075867,-0.01920064291994783,"D,F,F,D","D,F,D,D",0.0,-0.013171053967541424,-0.006029588952406462,0.0
0,photo,25,STD,0.05,0.8201570968646186,0.7937469018028057,-0.026410195061812858,"D,F,F,F","F,F,D,D",0.003914780595219186,-0.013171053967541424,-0.013529588952406468,-0.003624332737084013
0,photo,25,STD,0.1,0.818672464573932,0.7724921183137993,-0.046180346260132676,"F,F,F,F","F,F,F,D",0.005399412885905813,-0.013171053967541424,-0.022284372441412986,-0.016124332737083996
0,photo,25,STD,0.15,0.818672464573932,0.7599921183137992,-0.05868034626013274,"F,F,F,F","F,F,F,D",0.005399412885905813,-0.013171053967541424,-0.022284372441412986,-0.028624332737084007
0,photo,25,O50,0.0,0.8415327641275345,0.8259178712970962,-0.015614892830438376,"D,F,F,D","D,F,D,D",0.0,-0.014585303878031947,-0.0010295889524064572,0.0
0,photo,25,O50,0.02,0.8315327641275345,0.8109178712970961,-0.02061489283043838,"D,F,F,D","D,F,D,D",0.0,-0.014585303878031947,-0.006029588952406462,0.0
0,photo,25,O50,0.05,0.8201570968646186,0.7923326518923152,-0.027824444972303408,"D,F,F,F","F,F,D,D",0.003914780595219186,-0.014585303878031947,-0.013529588952406468,-0.003624332737084013
0,photo,25,O50,0.1,0.818672464573932,0.771145844448159,-0.04752662012577291,"F,F,F,F","F,F,F,D",0.005399412885905813,-0.014585303878031947,-0.0222163963965627,-0.016124332737083996
0,photo,25,O50,0.15,0.818672464573932,0.7674125007903603,-0.05125996378357167,"F,F,F,F","F,F,F,F",0.005399412885905813,-0.014585303878031947,-0.0222163963965627,-0.0198576763948827
0,photo,25,REP,0.0,0.8415327641275345,0.8376186317269554,-0.00391413240057914,"D,F,F,D","D,F,D,D",0.0,-0.002884543448172683,-0.0010295889524064572,0.0
0,photo,25,REP,0.02,0.8315327641275345,0.8226186317269554,-0.008914132400579144,"D,F,F,D","D,F,D,D",0.0,-0.002884543448172683,-0.006029588952406462,0.0
0,photo,25,REP,0.05,0.8201570968646186,0.8021144156018715,-0.018042681262747107,"D,F,F,F","F,F,F,D",0.0011018583678682192,-0.002884543448172683,-0.01263566344535852,-0.003624332737084013
