domain,label,class_name,count
photo,0,dog,189
photo,1,elephant,202
photo,2,giraffe,182
photo,3,guitar,186
photo,4,horse,199
photo,5,house,280
photo,6,person,432
art_painting,0,dog,379
art_painting,1,elephant,255
art_painting,2,giraffe,285
art_painting,3,guitar,184
art_painting,4,horse,201
art_painting,5,house,295
art_painting,6,person,449
cartoon,0,dog,389
cartoon,1,elephant,457
cartoon,2,giraffe,346
cartoon,3,guitar,135
cartoon,4,horse,324
cartoon,5,house,288
cartoon,6,person,405
sketch,0,dog,772
sketch,1,elephant,740
sketch,2,giraffe,753
sketch,3,guitar,608
sketch,4,horse,816
sketch,5,house,80
sketch,6,person,160
